Territórios,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Arcos de Valdevez,6901,6973,7029,7062,7070,7056,7031,6984,6897,6767,6580,6369,6188,6024,5872,5742,5616,5482,5383,5328,5286,5271,5321,5404
Caminha,5712,5766,5812,5849,5872,5860,5842,5807,5739,5665,5557,5439,5313,5172,5049,4923,4794,4691,4580,4508,4511,4566,4656,4752
Melgaço,2699,2736,2762,2756,2723,2692,2670,2610,2542,2472,2381,2304,2227,2131,2036,1951,1867,1788,1715,1661,1618,1594,1608,1635
Monção,6023,6120,6191,6235,6258,6266,6260,6249,6212,6128,5990,5838,5670,5499,5352,5201,5044,4894,4772,4719,4705,4708,4760,4813
Paredes de Coura,2961,3011,3052,3074,3064,3042,3038,3043,3042,3029,3000,2952,2899,2850,2794,2731,2665,2603,2539,2487,2464,2454,2455,2448
Ponte da Barca,4083,4146,4195,4239,4257,4250,4229,4206,4173,4127,4048,3939,3837,3714,3589,3489,3393,3302,3215,3142,3106,3113,3130,3149
Ponte de Lima,15253,15481,15693,15833,15921,16032,16138,16139,16050,15901,15634,15282,14939,14608,14288,14000,13709,13429,13152,12938,12746,12562,12481,12398
Valença,4763,4820,4866,4897,4927,4952,4976,4962,4911,4883,4827,4733,4640,4549,4473,4403,4333,4276,4241,4246,4294,4320,4368,4440
Viana do Castelo,32706,33045,33336,33532,33594,33607,33522,33266,32892,32421,31802,31114,30418,29671,28964,28384,27834,27277,26772,26433,26188,25981,25932,25904
Vila Nova de Cerveira,2923,2984,3052,3112,3153,3207,3253,3267,3263,3257,3225,3169,3112,3036,2978,2927,2881,2848,2822,2808,2813,2871,2926,2957
Amares,6589,6744,6865,6963,7044,7112,7157,7174,7154,7102,7018,6891,6751,6631,6513,6404,6309,6209,6099,6037,6066,6156,6283,6392
Barcelos,47318,48054,48600,48893,49015,49076,48943,48602,48215,47617,46765,45886,44968,43966,42968,42129,41377,40662,39961,39394,38819,38209,37868,37520
Braga,66841,68089,69175,70130,70917,71699,72393,72804,73082,73171,72765,71988,71211,70347,69585,69097,68839,68822,68950,68647,67997,67845,68248,68646
Esposende,12519,12754,12980,13159,13309,13429,13524,13565,13531,13436,13264,13084,12895,12694,12500,12291,12101,11973,11881,11865,11929,12030,12198,12384
Terras de Bouro,2583,2598,2597,2594,2590,2582,2557,2493,2439,2381,2298,2232,2178,2099,2034,1978,1906,1841,1769,1704,1673,1676,1697,1703
Vila Verde,16183,16550,16877,17152,17392,17607,17790,17958,18029,17990,17764,17413,17052,16700,16368,16063,15794,15556,15309,15212,15247,15280,15455,15684
Cabeceiras de Basto,5946,6059,6152,6222,6254,6267,6239,6176,6110,6012,5892,5763,5606,5447,5319,5213,5108,5003,4903,4830,4766,4723,4725,4720
Fafe,19789,19989,20133,20156,20083,20002,19905,19766,19544,19190,18776,18370,17954,17535,17133,16757,16427,16122,15803,15562,15308,15076,14999,14908
Guimarães,64014,64601,65026,65122,65079,64994,64865,64529,63887,63027,61934,60783,59675,58445,57227,56226,55381,54650,53869,53086,51983,50857,50186,49562
Mondim de Basto,2709,2756,2779,2774,2751,2737,2727,2697,2661,2605,2520,2434,2357,2277,2171,2065,1972,1886,1803,1731,1697,1691,1695,1712
Póvoa de Lanhoso,8087,8241,8366,8437,8462,8472,8448,8374,8272,8104,7922,7754,7562,7390,7232,7072,6930,6810,6701,6703,6769,6828,6926,7036
Vieira do Minho,4792,4865,4893,4891,4882,4867,4819,4718,4590,4448,4300,4177,4060,3928,3796,3678,3560,3442,3317,3236,3211,3194,3224,3275
Vila Nova de Famalicão,51854,52536,53068,53415,53649,53877,54038,53982,53739,53422,52773,51828,50832,49731,48688,47790,46975,46290,45722,45413,45004,44476,44266,44076
