Territórios,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2016,2017,2018,2019,2020,2021,2022,2023,2024
Arcos de Valdevez,2336,2384,2411,2448,2523,2592,2658,2720,2744,2766,2701,2627,3739,3773,2640,2684,2738,2751,2742,2757,2767
Caminha,1166,1197,1223,1267,1288,1299,1329,1357,1389,1400,1416,1427,2126,2160,1505,1549,1606,1652,1696,1746,1792
Melgaço,1049,1084,1114,1144,1181,1212,1232,1265,1294,1314,1309,1282,1832,1826,1237,1238,1249,1240,1234,1251,1256
Monção,1712,1719,1737,1769,1799,1863,1940,2002,2058,2128,2154,2142,2997,3014,2128,2130,2138,2157,2181,2204,2243
Paredes de Coura,819,836,844,864,887,907,931,954,970,999,991,987,1346,1330,905,901,920,938,940,960,998
Ponte da Barca,893,925,943,953,965,979,994,1011,1049,1104,1133,1135,1681,1690,1222,1225,1233,1234,1235,1249,1260
Ponte de Lima,2597,2663,2752,2830,2879,2917,2981,3052,3087,3149,3262,3341,4845,4865,3374,3436,3515,3582,3614,3639,3687
Valença,978,992,1013,1043,1074,1100,1103,1122,1159,1195,1209,1202,1700,1691,1205,1211,1239,1266,1285,1313,1349
Viana do Castelo,4603,4781,4980,5188,5356,5525,5756,5938,6057,6207,6351,6453,9333,9534,6805,6979,7198,7356,7499,7708,7963
Vila Nova de Cerveira,687,707,729,751,759,759,759,756,766,776,789,806,1118,1116,794,802,819,828,838,859,889
Amares,870,892,915,941,971,1000,1041,1086,1123,1149,1185,1208,1691,1720,1228,1264,1311,1361,1409,1453,1499
Barcelos,4179,4341,4506,4654,4769,4895,5067,5254,5413,5586,5840,6080,8907,9046,6581,6741,7013,7270,7484,7789,8153
Braga,5587,5811,6085,6410,6703,6997,7296,7536,7721,7934,8399,8785,13026,13294,9393,9758,10291,10816,11311,11905,12596
Esposende,1321,1346,1360,1385,1413,1441,1499,1581,1634,1659,1750,1835,2699,2762,2052,2113,2185,2274,2383,2518,2670
Terras de Bouro,612,631,642,652,658,664,676,697,713,722,701,663,945,950,660,663,663,644,634,649,666
Vila Verde,2319,2361,2429,2507,2571,2652,2751,2837,2933,3036,3171,3269,4639,4709,3288,3331,3411,3481,3551,3646,3755
Cabeceiras de Basto,1072,1092,1105,1136,1166,1202,1245,1285,1299,1316,1337,1338,1791,1763,1171,1170,1192,1197,1178,1180,1185
Fafe,2319,2358,2397,2461,2532,2588,2622,2657,2730,2813,2931,3048,4371,4453,3256,3341,3472,3605,3726,3860,4021
Guimarães,4907,5096,5316,5562,5808,6059,6353,6623,6846,7078,7432,7787,11350,11642,8804,9012,9291,9632,9989,10400,10911
Mondim de Basto,505,514,526,535,557,568,561,564,577,590,603,615,866,876,648,662,664,662,652,644,639
Póvoa de Lanhoso,1093,1124,1171,1207,1229,1280,1343,1394,1406,1442,1522,1560,2108,2090,1411,1428,1494,1548,1579,1633,1699
Vieira do Minho,942,946,949,954,952,964,1001,1035,1059,1087,1151,1192,1690,1682,1147,1149,1185,1218,1230,1253,1281
Vila Nova de Famalicão,3950,4128,4321,4569,4837,5100,5372,5612,5865,6130,6439,6700,9645,9882,7401,7578,7849,8149,8448,8855,9352
Vizela,610,625,645,661,681,714,757,788,795,823,880,921,1373,1413,1118,1160,1201,1243,1296,1346,1417
Arouca,1486,1481,1464,1462,1463,1460,1467,1468,1462,1453,1466,1486,2197,2223,1531,1569,1610,1631,1656,1718,1779
Espinho,1541,1604,1682,1767,1821,1875,1945,2012,2069,2130,2266,2398,3606,3728,2847,2905,2939,2997,3083,3171,3273
Gondomar,5400,5636,5925,6225,6501,6746,7018,7308,7561,7839,8323,8796,12918,13295,10212,10613,11010,11439,11924,12512,13154
Maia,3792,3988,4172,4369,4548,4708,4949,5218,5490,5724,6027,6341,9559,9811,7322,7628,8032,8511,8983,9452,9952
Matosinhos,6261,6565,6893,7293,7596,7858,8193,8468,8716,9063,9609,10045,14833,15229,11280,11754,12237,12788,13372,14032,14821
Oliveira de Azeméis,2951,3037,3125,3213,3295,3426,3584,3713,3852,3985,4160,4329,6242,6398,4804,4905,5048,5205,5328,5447,5622
