Territórios,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2018,2019,2020,2021,2022,2023,2024
Arcos de Valdevez,710,720,722,719,719,755,814,861,904,960,995,1008,1174,1192,1234,1279,1306,1345,1368
Caminha,407,410,408,388,390,408,403,398,408,464,561,617,718,746,746,736,735,761,796
Melgaço,295,298,302,305,315,340,367,396,428,450,464,466,573,591,601,600,585,575,591
Monção,488,502,503,492,507,540,561,563,574,614,686,738,887,910,946,978,996,1015,1026
Paredes de Coura,258,264,261,257,265,283,290,296,307,322,339,342,414,436,455,468,478,486,491
Ponte da Barca,265,269,267,273,290,306,324,346,347,335,357,396,474,498,526,544,546,559,596
Ponte de Lima,742,752,765,781,808,846,892,949,1007,1052,1151,1245,1529,1550,1603,1661,1679,1697,1734
Valença,275,274,265,258,260,280,303,312,312,331,368,391,475,498,510,516,519,529,552
Viana do Castelo,1378,1434,1473,1502,1545,1591,1641,1713,1788,1890,2040,2162,2923,2992,3078,3186,3260,3333,3419
Vila Nova de Cerveira,177,180,183,187,194,196,200,213,219,239,276,295,334,346,359,368,382,394,392
Amares,264,278,282,278,279,283,290,294,295,310,348,390,535,540,550,566,581,612,639
Barcelos,1131,1147,1145,1150,1187,1242,1299,1379,1481,1604,1782,1941,2633,2762,2892,3015,3131,3243,3366
Braga,1542,1578,1624,1678,1784,1887,1963,2068,2184,2342,2676,2989,4242,4401,4545,4748,4934,5078,5257
Esposende,357,373,382,384,398,416,422,425,452,503,578,631,798,858,906,937,959,991,1034
Terras de Bouro,168,169,169,172,173,189,215,224,230,235,237,244,280,276,290,314,329,337,343
Vila Verde,642,664,674,668,691,737,766,796,836,900,1008,1096,1490,1546,1622,1705,1721,1736,1790
Cabeceiras de Basto,300,296,294,299,315,330,338,352,371,395,418,426,573,601,631,656,657,651,660
Fafe,595,602,618,636,664,708,738,756,784,816,894,969,1244,1289,1347,1407,1454,1500,1542
Guimarães,1259,1297,1287,1283,1344,1446,1533,1596,1680,1783,1996,2205,3133,3285,3441,3617,3786,3959,4121
Mondim de Basto,153,153,140,134,134,140,149,139,136,163,182,189,247,259,273,289,303,312,325
Póvoa de Lanhoso,262,262,267,274,282,291,294,297,316,365,452,516,661,677,701,738,757,753,757
Vieira do Minho,324,307,293,296,308,314,312,313,321,348,398,437,528,545,575,608,624,642,665
Vila Nova de Famalicão,1000,1033,1071,1110,1141,1199,1272,1343,1386,1492,1706,1892,2760,2913,3023,3149,3324,3495,3642
Vizela,149,166,167,163,173,189,198,206,220,224,227,239,341,363,396,425,434,452,492
Arouca,455,465,487,513,533,563,576,586,603,610,621,633,721,723,734,762,783,800,820
Espinho,463,464,454,441,449,482,512,547,578,613,709,784,1019,1091,1166,1233,1292,1348,1418
Gondomar,1387,1436,1428,1415,1491,1595,1684,1785,1876,2021,2315,2597,3550,3698,3853,3999,4158,4344,4534
Maia,942,974,1007,1038,1098,1186,1253,1327,1401,1527,1813,2057,2796,2897,2982,3119,3314,3503,3689
Matosinhos,1724,1774,1761,1743,1821,1945,2044,2140,2229,2434,2914,3320,4432,4556,4664,4812,5022,5226,5432
Oliveira de Azeméis,802,805,797,792,815,849,890,956,1005,1109,1263,1355,1813,1924,2002,2079,2143,2248,2369
Paredes,538,569,583,586,603,641,686,728,770,783,857,949,1211,1282,1350,1417,1488,1561,1648
Porto,5048,5087,5055,5062,5311,5715,6056,6355,6752,7202,7491,7717,9588,9773,9850,9955,10230,10560,10838
Póvoa de Varzim,594,606,597,591,630,675,695,716,753,826,960,1066,1353,1435,1504,1559,1613,1640,1677
Santa Maria da Feira,1250,1286,1306,1311,1334,1389,1471,1558,1653,1779,1982,2170,3057,3234,3408,3564,3740,3949,4136
Santo Tirso,903,927,943,941,943,964,992,1004,1000,1048,1224,1388,1864,1947,2009,2098,2201,2267,2358
São João da Madeira,249,255,257,254,256,269,275,285,292,308,374,429,622,665,681,691,722,771,815
Trofa,310,330,346,360,373,387,390,392,415,452,484,514,719,756,797,836,897,969,1041
