Territórios,Ano,Valor
Distrito da Guarda,2001,32039
Distrito da Guarda,2002,32106
Distrito da Guarda,2003,31829
Distrito da Guarda,2004,31400
Distrito da Guarda,2005,30823
Distrito da Guarda,2006,30016
Distrito da Guarda,2007,29124
Distrito da Guarda,2008,28158
Distrito da Guarda,2009,27149
Distrito da Guarda,2010,26118
Distrito da Guarda,2011,25179
Distrito da Guarda,2012,24225
Distrito da Guarda,2013,23105
Distrito da Guarda,2014,21989
Distrito da Guarda,2015,20917
Distrito da Guarda,2016,19885
Distrito da Guarda,2017,18939
Distrito da Guarda,2018,18166
Distrito da Guarda,2019,17549
Distrito da Guarda,2020,17369
Distrito da Guarda,2021,17612
Distrito da Guarda,2022,17826
Distrito da Guarda,2023,18271
Distrito da Guarda,2024,19003
Distrito de Aveiro,2001,167906
Distrito de Aveiro,2002,166985
Distrito de Aveiro,2003,165275
Distrito de Aveiro,2004,162927
Distrito de Aveiro,2005,159965
Distrito de Aveiro,2006,156238
Distrito de Aveiro,2007,152191
Distrito de Aveiro,2008,147857
Distrito de Aveiro,2009,143166
Distrito de Aveiro,2010,138222
Distrito de Aveiro,2011,133593
Distrito de Aveiro,2012,129204
Distrito de Aveiro,2013,124947
Distrito de Aveiro,2014,121131
Distrito de Aveiro,2015,117812
Distrito de Aveiro,2016,115133
Distrito de Aveiro,2017,112911
Distrito de Aveiro,2018,111316
Distrito de Aveiro,2019,110424
Distrito de Aveiro,2020,110817
Distrito de Aveiro,2021,112208
Distrito de Aveiro,2022,113666
Distrito de Aveiro,2023,116327
Distrito de Aveiro,2024,119776
Distrito de Beja,2001,30604
Distrito de Beja,2002,30645
Distrito de Beja,2003,30613
Distrito de Beja,2004,30453
Distrito de Beja,2005,30087
Distrito de Beja,2006,29626
Distrito de Beja,2007,29148
Distrito de Beja,2008,28595
Distrito de Beja,2009,27989
Distrito de Beja,2010,27301
Distrito de Beja,2011,26542
Distrito de Beja,2012,25727
Distrito de Beja,2013,24941
Distrito de Beja,2014,24272
Distrito de Beja,2015,23677
Distrito de Beja,2016,23132
Distrito de Beja,2017,22651
Distrito de Beja,2018,22349
Distrito de Beja,2019,22328
Distrito de Beja,2020,22432
Distrito de Beja,2021,22721
Distrito de Beja,2022,23174
Distrito de Beja,2023,23681
Distrito de Beja,2024,24127
Distrito de Braga,2001,210425
Distrito de Braga,2002,210220
Distrito de Braga,2003,209212
Distrito de Braga,2004,207181
Distrito de Braga,2005,204209
Distrito de Braga,2006,200428
Distrito de Braga,2007,195937
Distrito de Braga,2008,190807
Distrito de Braga,2009,185114
Distrito de Braga,2010,178925
Distrito de Braga,2011,173028
Distrito de Braga,2012,167784
Distrito de Braga,2013,162753
Distrito de Braga,2014,158177
Distrito de Braga,2015,154060
Distrito de Braga,2016,150642
Distrito de Braga,2017,148039
Distrito de Braga,2018,146296
Distrito de Braga,2019,145306
Distrito de Braga,2020,145559
Distrito de Braga,2021,145991
Distrito de Braga,2022,146301
Distrito de Braga,2023,147700
Distrito de Braga,2024,148987
Distrito de Bragança,2001,26782
Distrito de Bragança,2002,27083
Distrito de Bragança,2003,27155
Distrito de Bragança,2004,26935
Distrito de Bragança,2005,26469
Distrito de Bragança,2006,25857
Distrito de Bragança,2007,25138
Distrito de Bragança,2008,24366
Distrito de Bragança,2009,23562
Distrito de Bragança,2010,22624
Distrito de Bragança,2011,21669
Distrito de Bragança,2012,20758
Distrito de Bragança,2013,19816
Distrito de Bragança,2014,18851
Distrito de Bragança,2015,17940
Distrito de Bragança,2016,17257
Distrito de Bragança,2017,16684
Distrito de Bragança,2018,16254
Distrito de Bragança,2019,15989
Distrito de Bragança,2020,15902
Distrito de Bragança,2021,15994
Distrito de Bragança,2022,16222
Distrito de Bragança,2023,16605
Distrito de Bragança,2024,16924
Distrito de Castelo Branco,2001,38540
Distrito de Castelo Branco,2002,38616
Distrito de Castelo Branco,2003,38498
Distrito de Castelo Branco,2004,38141
Distrito de Castelo Branco,2005,37521
Distrito de Castelo Branco,2006,36734
Distrito de Castelo Branco,2007,35857
Distrito de Castelo Branco,2008,34926
Distrito de Castelo Branco,2009,33997
Distrito de Castelo Branco,2010,33052
Distrito de Castelo Branco,2011,31959
Distrito de Castelo Branco,2012,30645
Distrito de Castelo Branco,2013,29254
Distrito de Castelo Branco,2014,27924
Distrito de Castelo Branco,2015,26614
Distrito de Castelo Branco,2016,25402
Distrito de Castelo Branco,2017,24407
Distrito de Castelo Branco,2018,23570
Distrito de Castelo Branco,2019,23044
Distrito de Castelo Branco,2020,22952
Distrito de Castelo Branco,2021,23209
Distrito de Castelo Branco,2022,23608
Distrito de Castelo Branco,2023,24200
Distrito de Castelo Branco,2024,25162
Distrito de Coimbra,2001,94907
Distrito de Coimbra,2002,94834
Distrito de Coimbra,2003,94229
Distrito de Coimbra,2004,93123
Distrito de Coimbra,2005,91485
Distrito de Coimbra,2006,89434
Distrito de Coimbra,2007,87193
Distrito de Coimbra,2008,84684
Distrito de Coimbra,2009,82120
Distrito de Coimbra,2010,79552
Distrito de Coimbra,2011,76628
Distrito de Coimbra,2012,73394
Distrito de Coimbra,2013,70234
Distrito de Coimbra,2014,67297
Distrito de Coimbra,2015,64736
Distrito de Coimbra,2016,62599
Distrito de Coimbra,2017,60719
Distrito de Coimbra,2018,59295
Distrito de Coimbra,2019,58604
Distrito de Coimbra,2020,58422
Distrito de Coimbra,2021,58722
Distrito de Coimbra,2022,59562
Distrito de Coimbra,2023,61155
Distrito de Coimbra,2024,63450
Distrito de Faro,2001,86107
Distrito de Faro,2002,88289
Distrito de Faro,2003,89994
Distrito de Faro,2004,91156
Distrito de Faro,2005,91773
Distrito de Faro,2006,91947
Distrito de Faro,2007,91855
Distrito de Faro,2008,91411
Distrito de Faro,2009,90611
Distrito de Faro,2010,88840
Distrito de Faro,2011,85854
Distrito de Faro,2012,82385
Distrito de Faro,2013,79282
Distrito de Faro,2014,76837
Distrito de Faro,2015,74846
Distrito de Faro,2016,73287
Distrito de Faro,2017,72121
Distrito de Faro,2018,71437
Distrito de Faro,2019,71376
Distrito de Faro,2020,71576
Distrito de Faro,2021,71251
Distrito de Faro,2022,71907
Distrito de Faro,2023,73685
Distrito de Faro,2024,75959
Distrito de Leiria,2001,100384
Distrito de Leiria,2002,100825
Distrito de Leiria,2003,100639
Distrito de Leiria,2004,99881
Distrito de Leiria,2005,98675
Distrito de Leiria,2006,96946
Distrito de Leiria,2007,94996
Distrito de Leiria,2008,93007
Distrito de Leiria,2009,90930
Distrito de Leiria,2010,88715
Distrito de Leiria,2011,86121
Distrito de Leiria,2012,83044
Distrito de Leiria,2013,79887
Distrito de Leiria,2014,76740
Distrito de Leiria,2015,73990
Distrito de Leiria,2016,71785
Distrito de Leiria,2017,69931
Distrito de Leiria,2018,68482
Distrito de Leiria,2019,67823
Distrito de Leiria,2020,68677
Distrito de Leiria,2021,70375
Distrito de Leiria,2022,72102
Distrito de Leiria,2023,74747
Distrito de Leiria,2024,78055
Distrito de Lisboa,2001,502351
Distrito de Lisboa,2002,503306
Distrito de Lisboa,2003,501708
Distrito de Lisboa,2004,497552
Distrito de Lisboa,2005,491206
Distrito de Lisboa,2006,482590
Distrito de Lisboa,2007,473068
Distrito de Lisboa,2008,463755
Distrito de Lisboa,2009,454142
Distrito de Lisboa,2010,443707
Distrito de Lisboa,2011,432034
Distrito de Lisboa,2012,418975
Distrito de Lisboa,2013,407524
Distrito de Lisboa,2014,400087
Distrito de Lisboa,2015,396159
Distrito de Lisboa,2016,394288
Distrito de Lisboa,2017,394079
Distrito de Lisboa,2018,395649
Distrito de Lisboa,2019,400190
Distrito de Lisboa,2020,400850
Distrito de Lisboa,2021,396085
Distrito de Lisboa,2022,397511
Distrito de Lisboa,2023,403807
Distrito de Lisboa,2024,410249
Distrito de Portalegre,2001,23462
Distrito de Portalegre,2002,23505
Distrito de Portalegre,2003,23458
Distrito de Portalegre,2004,23303
Distrito de Portalegre,2005,23038
Distrito de Portalegre,2006,22722
Distrito de Portalegre,2007,22373
Distrito de Portalegre,2008,21820
Distrito de Portalegre,2009,21210
Distrito de Portalegre,2010,20603
Distrito de Portalegre,2011,19834
Distrito de Portalegre,2012,18910
Distrito de Portalegre,2013,18038
Distrito de Portalegre,2014,17216
Distrito de Portalegre,2015,16334
Distrito de Portalegre,2016,15508
Distrito de Portalegre,2017,14757
Distrito de Portalegre,2018,14117
Distrito de Portalegre,2019,13671
Distrito de Portalegre,2020,13586
Distrito de Portalegre,2021,13750
Distrito de Portalegre,2022,13946
Distrito de Portalegre,2023,14287
Distrito de Portalegre,2024,14690
Distrito de Santarém,2001,93601
Distrito de Santarém,2002,93781
Distrito de Santarém,2003,93489
Distrito de Santarém,2004,92790
Distrito de Santarém,2005,91578
Distrito de Santarém,2006,89912
Distrito de Santarém,2007,88062
Distrito de Santarém,2008,85857
Distrito de Santarém,2009,83411
Distrito de Santarém,2010,80910
Distrito de Santarém,2011,78051
Distrito de Santarém,2012,74750
Distrito de Santarém,2013,71511
Distrito de Santarém,2014,68477
Distrito de Santarém,2015,65559
Distrito de Santarém,2016,62999
Distrito de Santarém,2017,60763
Distrito de Santarém,2018,58927
Distrito de Santarém,2019,57908
Distrito de Santarém,2020,58486
Distrito de Santarém,2021,60588
Distrito de Santarém,2022,62885
Distrito de Santarém,2023,65374
Distrito de Santarém,2024,68391
Distrito de Setúbal,2001,183141
Distrito de Setúbal,2002,185037
Distrito de Setúbal,2003,186246
Distrito de Setúbal,2004,186392
Distrito de Setúbal,2005,185308
Distrito de Setúbal,2006,183192
Distrito de Setúbal,2007,180418
Distrito de Setúbal,2008,177066
Distrito de Setúbal,2009,173172
Distrito de Setúbal,2010,168595
Distrito de Setúbal,2011,162811
Distrito de Setúbal,2012,155944
Distrito de Setúbal,2013,149796
Distrito de Setúbal,2014,145371
Distrito de Setúbal,2015,142037
Distrito de Setúbal,2016,139315
Distrito de Setúbal,2017,137346
Distrito de Setúbal,2018,136002
Distrito de Setúbal,2019,135922
Distrito de Setúbal,2020,138014
Distrito de Setúbal,2021,139833
Distrito de Setúbal,2022,141059
Distrito de Setúbal,2023,143488
Distrito de Setúbal,2024,147136
Distrito de Viana do Castelo,2001,52391
Distrito de Viana do Castelo,2002,52811
Distrito de Viana do Castelo,2003,52952
Distrito de Viana do Castelo,2004,52716
Distrito de Viana do Castelo,2005,52093
Distrito de Viana do Castelo,2006,51175
Distrito de Viana do Castelo,2007,50061
Distrito de Viana do Castelo,2008,48641
Distrito de Viana do Castelo,2009,47006
Distrito de Viana do Castelo,2010,45308
Distrito de Viana do Castelo,2011,43653
Distrito de Viana do Castelo,2012,42033
Distrito de Viana do Castelo,2013,40371
Distrito de Viana do Castelo,2014,38760
Distrito de Viana do Castelo,2015,37261
Distrito de Viana do Castelo,2016,35981
Distrito de Viana do Castelo,2017,34849
Distrito de Viana do Castelo,2018,33853
Distrito de Viana do Castelo,2019,33164
Distrito de Viana do Castelo,2020,33053
Distrito de Viana do Castelo,2021,33290
Distrito de Viana do Castelo,2022,33584
Distrito de Viana do Castelo,2023,34206
Distrito de Viana do Castelo,2024,34952
Distrito de Vila Real,2001,44369
Distrito de Vila Real,2002,44478
Distrito de Vila Real,2003,44323
Distrito de Vila Real,2004,43822
Distrito de Vila Real,2005,43020
Distrito de Vila Real,2006,42017
Distrito de Vila Real,2007,40808
Distrito de Vila Real,2008,39377
Distrito de Vila Real,2009,37743
Distrito de Vila Real,2010,35954
Distrito de Vila Real,2011,34335
Distrito de Vila Real,2012,32910
Distrito de Vila Real,2013,31485
Distrito de Vila Real,2014,30021
Distrito de Vila Real,2015,28543
Distrito de Vila Real,2016,27259
Distrito de Vila Real,2017,26168
Distrito de Vila Real,2018,25175
Distrito de Vila Real,2019,24295
Distrito de Vila Real,2020,24033
Distrito de Vila Real,2021,24131
Distrito de Vila Real,2022,24313
Distrito de Vila Real,2023,24965
Distrito de Vila Real,2024,25669
Distrito de Viseu,2001,81197
Distrito de Viseu,2002,82047
Distrito de Viseu,2003,82198
Distrito de Viseu,2004,81677
Distrito de Viseu,2005,80580
Distrito de Viseu,2006,78917
Distrito de Viseu,2007,76949
Distrito de Viseu,2008,74643
Distrito de Viseu,2009,71994
Distrito de Viseu,2010,69202
Distrito de Viseu,2011,66554
Distrito de Viseu,2012,64043
Distrito de Viseu,2013,61478
Distrito de Viseu,2014,58913
Distrito de Viseu,2015,56412
Distrito de Viseu,2016,54075
Distrito de Viseu,2017,51998
Distrito de Viseu,2018,50258
Distrito de Viseu,2019,49023
Distrito de Viseu,2020,49070
Distrito de Viseu,2021,49951
Distrito de Viseu,2022,50658
Distrito de Viseu,2023,52040
Distrito de Viseu,2024,54128
Distrito de Évora,2001,35398
Distrito de Évora,2002,35356
Distrito de Évora,2003,35126
Distrito de Évora,2004,34787
Distrito de Évora,2005,34362
Distrito de Évora,2006,33817
Distrito de Évora,2007,33185
Distrito de Évora,2008,32405
Distrito de Évora,2009,31509
Distrito de Évora,2010,30503
Distrito de Évora,2011,29393
Distrito de Évora,2012,28119
Distrito de Évora,2013,26864
Distrito de Évora,2014,25776
Distrito de Évora,2015,24725
Distrito de Évora,2016,23736
Distrito de Évora,2017,22867
Distrito de Évora,2018,22148
Distrito de Évora,2019,21643
Distrito de Évora,2020,21507
Distrito de Évora,2021,21741
Distrito de Évora,2022,22035
Distrito de Évora,2023,22359
Distrito de Évora,2024,22827
Distrito do Porto,2001,437654
Distrito do Porto,2002,434615
Distrito do Porto,2003,430549
Distrito do Porto,2004,425477
Distrito do Porto,2005,419016
Distrito do Porto,2006,410697
Distrito do Porto,2007,401398
Distrito do Porto,2008,390925
Distrito do Porto,2009,379125
Distrito do Porto,2010,367349
Distrito do Porto,2011,356048
Distrito do Porto,2012,345017
Distrito do Porto,2013,335082
Distrito do Porto,2014,326212
Distrito do Porto,2015,318525
Distrito do Porto,2016,312784
Distrito do Porto,2017,308760
Distrito do Porto,2018,306391
Distrito do Porto,2019,305363
Distrito do Porto,2020,304809
Distrito do Porto,2021,305566
Distrito do Porto,2022,309893
Distrito do Porto,2023,315593
Distrito do Porto,2024,319327
Região Autónoma da Madeira,2001,58097
Região Autónoma da Madeira,2002,59280
Região Autónoma da Madeira,2003,60161
Região Autónoma da Madeira,2004,60913
Região Autónoma da Madeira,2005,61443
Região Autónoma da Madeira,2006,61664
Região Autónoma da Madeira,2007,61629
Região Autónoma da Madeira,2008,61096
Região Autónoma da Madeira,2009,60111
Região Autónoma da Madeira,2010,58224
Região Autónoma da Madeira,2011,55677
Região Autónoma da Madeira,2012,53263
Região Autónoma da Madeira,2013,50962
Região Autónoma da Madeira,2014,48507
Região Autónoma da Madeira,2015,45813
Região Autónoma da Madeira,2016,43425
Região Autónoma da Madeira,2017,41529
Região Autónoma da Madeira,2018,40115
Região Autónoma da Madeira,2019,39097
Região Autónoma da Madeira,2020,38925
Região Autónoma da Madeira,2021,39542
Região Autónoma da Madeira,2022,40319
Região Autónoma da Madeira,2023,41448
Região Autónoma da Madeira,2024,42797
Região Autónoma dos Açores,2001,57519
Região Autónoma dos Açores,2002,58435
Região Autónoma dos Açores,2003,59093
Região Autónoma dos Açores,2004,59517
Região Autónoma dos Açores,2005,59719
Região Autónoma dos Açores,2006,59760
Região Autónoma dos Açores,2007,59608
Região Autónoma dos Açores,2008,59182
Região Autónoma dos Açores,2009,58465
Região Autónoma dos Açores,2010,57543
Região Autónoma dos Açores,2011,56500
Região Autónoma dos Açores,2012,55243
Região Autónoma dos Açores,2013,53913
Região Autónoma dos Açores,2014,52396
Região Autónoma dos Açores,2015,50595
Região Autónoma dos Açores,2016,48895
Região Autónoma dos Açores,2017,47385
Região Autónoma dos Açores,2018,45935
Região Autónoma dos Açores,2019,44598
Região Autónoma dos Açores,2020,44074
Região Autónoma dos Açores,2021,44128
Região Autónoma dos Açores,2022,44152
Região Autónoma dos Açores,2023,44181
Região Autónoma dos Açores,2024,44216
