Territórios,Ano,Valor
Distrito da Guarda,2001,45320
Distrito da Guarda,2002,45554
Distrito da Guarda,2003,45560
Distrito da Guarda,2004,45591
Distrito da Guarda,2005,45554
Distrito da Guarda,2006,45326
Distrito da Guarda,2007,44993
Distrito da Guarda,2008,44681
Distrito da Guarda,2009,44450
Distrito da Guarda,2010,44405
Distrito da Guarda,2011,45281
Distrito da Guarda,2012,45962
Distrito da Guarda,2013,45959
Distrito da Guarda,2014,46235
Distrito da Guarda,2015,46507
Distrito da Guarda,2016,46818
Distrito da Guarda,2017,47246
Distrito da Guarda,2018,47731
Distrito da Guarda,2019,48363
Distrito da Guarda,2020,48979
Distrito da Guarda,2021,49255
Distrito da Guarda,2022,49322
Distrito da Guarda,2023,49467
Distrito da Guarda,2024,49664
Distrito de Aveiro,2001,102811
Distrito de Aveiro,2002,104947
Distrito de Aveiro,2003,106966
Distrito de Aveiro,2004,109034
Distrito de Aveiro,2005,110935
Distrito de Aveiro,2006,112793
Distrito de Aveiro,2007,114729
Distrito de Aveiro,2008,116774
Distrito de Aveiro,2009,118861
Distrito de Aveiro,2010,121744
Distrito de Aveiro,2011,126177
Distrito de Aveiro,2012,129734
Distrito de Aveiro,2013,132407
Distrito de Aveiro,2014,135761
Distrito de Aveiro,2015,139144
Distrito de Aveiro,2016,142590
Distrito de Aveiro,2017,146292
Distrito de Aveiro,2018,150259
Distrito de Aveiro,2019,154864
Distrito de Aveiro,2020,159655
Distrito de Aveiro,2021,164200
Distrito de Aveiro,2022,168815
Distrito de Aveiro,2023,173535
Distrito de Aveiro,2024,178359
Distrito de Beja,2001,39110
Distrito de Beja,2002,39434
Distrito de Beja,2003,39383
Distrito de Beja,2004,39308
Distrito de Beja,2005,39266
Distrito de Beja,2006,39125
Distrito de Beja,2007,38862
Distrito de Beja,2008,38489
Distrito de Beja,2009,38263
Distrito de Beja,2010,38075
Distrito de Beja,2011,37913
Distrito de Beja,2012,37735
Distrito de Beja,2013,37453
Distrito de Beja,2014,37310
Distrito de Beja,2015,37178
Distrito de Beja,2016,37062
Distrito de Beja,2017,37105
Distrito de Beja,2018,37221
Distrito de Beja,2019,37576
Distrito de Beja,2020,38147
Distrito de Beja,2021,38440
Distrito de Beja,2022,38536
Distrito de Beja,2023,38708
Distrito de Beja,2024,38811
Distrito de Braga,2001,98593
Distrito de Braga,2002,100979
Distrito de Braga,2003,103043
Distrito de Braga,2004,105185
Distrito de Braga,2005,107186
Distrito de Braga,2006,108890
Distrito de Braga,2007,110555
Distrito de Braga,2008,112379
Distrito de Braga,2009,114541
Distrito de Braga,2010,117453
Distrito de Braga,2011,121772
Distrito de Braga,2012,125539
Distrito de Braga,2013,128705
Distrito de Braga,2014,132783
Distrito de Braga,2015,136936
Distrito de Braga,2016,141512
Distrito de Braga,2017,146639
Distrito de Braga,2018,151868
Distrito de Braga,2019,158115
Distrito de Braga,2020,164975
Distrito de Braga,2021,171480
Distrito de Braga,2022,177816
Distrito de Braga,2023,183989
Distrito de Braga,2024,189963
Distrito de Bragança,2001,35818
Distrito de Bragança,2002,36374
Distrito de Bragança,2003,36786
Distrito de Bragança,2004,37163
Distrito de Bragança,2005,37435
Distrito de Bragança,2006,37581
Distrito de Bragança,2007,37755
Distrito de Bragança,2008,37983
Distrito de Bragança,2009,38281
Distrito de Bragança,2010,38507
Distrito de Bragança,2011,38380
Distrito de Bragança,2012,38166
Distrito de Bragança,2013,38199
Distrito de Bragança,2014,38439
Distrito de Bragança,2015,38816
Distrito de Bragança,2016,39276
Distrito de Bragança,2017,39809
Distrito de Bragança,2018,40439
Distrito de Bragança,2019,41327
Distrito de Bragança,2020,41961
Distrito de Bragança,2021,42232
Distrito de Bragança,2022,42554
Distrito de Bragança,2023,42872
Distrito de Bragança,2024,43111
Distrito de Castelo Branco,2001,52526
Distrito de Castelo Branco,2002,52918
Distrito de Castelo Branco,2003,53122
Distrito de Castelo Branco,2004,53336
Distrito de Castelo Branco,2005,53391
Distrito de Castelo Branco,2006,53279
Distrito de Castelo Branco,2007,53179
Distrito de Castelo Branco,2008,53060
Distrito de Castelo Branco,2009,53012
Distrito de Castelo Branco,2010,53008
Distrito de Castelo Branco,2011,52817
Distrito de Castelo Branco,2012,52525
Distrito de Castelo Branco,2013,52497
Distrito de Castelo Branco,2014,52769
Distrito de Castelo Branco,2015,53208
Distrito de Castelo Branco,2016,53734
Distrito de Castelo Branco,2017,54453
Distrito de Castelo Branco,2018,55284
Distrito de Castelo Branco,2019,56221
Distrito de Castelo Branco,2020,57045
Distrito de Castelo Branco,2021,57594
Distrito de Castelo Branco,2022,57989
Distrito de Castelo Branco,2023,58315
Distrito de Castelo Branco,2024,58703
Distrito de Coimbra,2001,86938
Distrito de Coimbra,2002,87915
Distrito de Coimbra,2003,88677
Distrito de Coimbra,2004,89613
Distrito de Coimbra,2005,90501
Distrito de Coimbra,2006,91244
Distrito de Coimbra,2007,91815
Distrito de Coimbra,2008,92324
Distrito de Coimbra,2009,93026
Distrito de Coimbra,2010,94248
Distrito de Coimbra,2011,96462
Distrito de Coimbra,2012,98104
Distrito de Coimbra,2013,99198
Distrito de Coimbra,2014,100841
Distrito de Coimbra,2015,102571
Distrito de Coimbra,2016,104369
Distrito de Coimbra,2017,106042
Distrito de Coimbra,2018,107753
Distrito de Coimbra,2019,109841
Distrito de Coimbra,2020,111915
Distrito de Coimbra,2021,113676
Distrito de Coimbra,2022,115185
Distrito de Coimbra,2023,116852
Distrito de Coimbra,2024,118763
Distrito de Faro,2001,74419
Distrito de Faro,2002,75672
Distrito de Faro,2003,76680
Distrito de Faro,2004,77653
Distrito de Faro,2005,78665
Distrito de Faro,2006,79670
Distrito de Faro,2007,80727
Distrito de Faro,2008,81849
Distrito de Faro,2009,83209
Distrito de Faro,2010,84990
Distrito de Faro,2011,86915
Distrito de Faro,2012,88343
Distrito de Faro,2013,89667
Distrito de Faro,2014,91362
Distrito de Faro,2015,93195
Distrito de Faro,2016,95228
Distrito de Faro,2017,97616
Distrito de Faro,2018,100370
Distrito de Faro,2019,104008
Distrito de Faro,2020,108190
Distrito de Faro,2021,111160
Distrito de Faro,2022,113343
Distrito de Faro,2023,115674
Distrito de Faro,2024,117922
Distrito de Leiria,2001,81078
Distrito de Leiria,2002,82607
Distrito de Leiria,2003,83951
Distrito de Leiria,2004,85360
Distrito de Leiria,2005,86598
Distrito de Leiria,2006,87681
Distrito de Leiria,2007,88807
Distrito de Leiria,2008,89859
Distrito de Leiria,2009,90911
Distrito de Leiria,2010,92608
Distrito de Leiria,2011,95653
Distrito de Leiria,2012,98109
Distrito de Leiria,2013,99497
Distrito de Leiria,2014,101139
Distrito de Leiria,2015,102910
Distrito de Leiria,2016,104831
Distrito de Leiria,2017,106984
Distrito de Leiria,2018,109314
Distrito de Leiria,2019,112011
Distrito de Leiria,2020,115070
Distrito de Leiria,2021,117826
Distrito de Leiria,2022,120142
Distrito de Leiria,2023,122591
Distrito de Leiria,2024,125148
Distrito de Lisboa,2001,343547
Distrito de Lisboa,2002,350991
Distrito de Lisboa,2003,357898
Distrito de Lisboa,2004,365355
Distrito de Lisboa,2005,372711
Distrito de Lisboa,2006,379772
Distrito de Lisboa,2007,387427
Distrito de Lisboa,2008,396252
Distrito de Lisboa,2009,406479
Distrito de Lisboa,2010,418401
Distrito de Lisboa,2011,425010
Distrito de Lisboa,2012,428318
Distrito de Lisboa,2013,435447
Distrito de Lisboa,2014,442712
Distrito de Lisboa,2015,449616
Distrito de Lisboa,2016,455974
Distrito de Lisboa,2017,461840
Distrito de Lisboa,2018,467285
Distrito de Lisboa,2019,474167
Distrito de Lisboa,2020,483290
Distrito de Lisboa,2021,492005
Distrito de Lisboa,2022,500865
Distrito de Lisboa,2023,510869
Distrito de Lisboa,2024,521214
Distrito de Portalegre,2001,33129
Distrito de Portalegre,2002,33245
Distrito de Portalegre,2003,33237
Distrito de Portalegre,2004,33212
Distrito de Portalegre,2005,33057
Distrito de Portalegre,2006,32768
Distrito de Portalegre,2007,32516
Distrito de Portalegre,2008,32212
Distrito de Portalegre,2009,31918
Distrito de Portalegre,2010,31668
Distrito de Portalegre,2011,31827
Distrito de Portalegre,2012,31988
Distrito de Portalegre,2013,31803
Distrito de Portalegre,2014,31677
Distrito de Portalegre,2015,31540
Distrito de Portalegre,2016,31428
Distrito de Portalegre,2017,31449
Distrito de Portalegre,2018,31551
Distrito de Portalegre,2019,31624
Distrito de Portalegre,2020,31575
Distrito de Portalegre,2021,31298
Distrito de Portalegre,2022,30998
Distrito de Portalegre,2023,30907
Distrito de Portalegre,2024,30857
Distrito de Santarém,2001,95179
Distrito de Santarém,2002,96318
Distrito de Santarém,2003,97233
Distrito de Santarém,2004,98305
Distrito de Santarém,2005,99177
Distrito de Santarém,2006,99716
Distrito de Santarém,2007,100408
Distrito de Santarém,2008,101109
Distrito de Santarém,2009,101717
Distrito de Santarém,2010,102672
Distrito de Santarém,2011,104826
Distrito de Santarém,2012,106509
Distrito de Santarém,2013,107176
Distrito de Santarém,2014,108142
Distrito de Santarém,2015,109097
Distrito de Santarém,2016,110031
Distrito de Santarém,2017,111154
Distrito de Santarém,2018,112280
Distrito de Santarém,2019,113732
Distrito de Santarém,2020,115501
Distrito de Santarém,2021,116932
Distrito de Santarém,2022,118127
Distrito de Santarém,2023,119317
Distrito de Santarém,2024,120530
Distrito de Setúbal,2001,119105
Distrito de Setúbal,2002,122369
Distrito de Setúbal,2003,125329
Distrito de Setúbal,2004,128402
Distrito de Setúbal,2005,131415
Distrito de Setúbal,2006,134167
Distrito de Setúbal,2007,136987
Distrito de Setúbal,2008,140280
Distrito de Setúbal,2009,144311
Distrito de Setúbal,2010,149369
Distrito de Setúbal,2011,157170
Distrito de Setúbal,2012,163907
Distrito de Setúbal,2013,167844
Distrito de Setúbal,2014,171845
Distrito de Setúbal,2015,175403
Distrito de Setúbal,2016,179004
Distrito de Setúbal,2017,182855
Distrito de Setúbal,2018,186684
Distrito de Setúbal,2019,191073
Distrito de Setúbal,2020,196057
Distrito de Setúbal,2021,200258
Distrito de Setúbal,2022,203978
Distrito de Setúbal,2023,208027
Distrito de Setúbal,2024,211936
Distrito de Viana do Castelo,2001,50106
Distrito de Viana do Castelo,2002,50895
Distrito de Viana do Castelo,2003,51511
Distrito de Viana do Castelo,2004,52147
Distrito de Viana do Castelo,2005,52666
Distrito de Viana do Castelo,2006,52998
Distrito de Viana do Castelo,2007,53350
Distrito de Viana do Castelo,2008,53697
Distrito de Viana do Castelo,2009,54113
Distrito de Viana do Castelo,2010,54768
Distrito de Viana do Castelo,2011,55344
Distrito de Viana do Castelo,2012,55615
Distrito de Viana do Castelo,2013,56153
Distrito de Viana do Castelo,2014,57021
Distrito de Viana do Castelo,2015,57903
Distrito de Viana do Castelo,2016,58963
Distrito de Viana do Castelo,2017,60185
Distrito de Viana do Castelo,2018,61349
Distrito de Viana do Castelo,2019,62785
Distrito de Viana do Castelo,2020,64267
Distrito de Viana do Castelo,2021,65369
Distrito de Viana do Castelo,2022,66326
Distrito de Viana do Castelo,2023,67301
Distrito de Viana do Castelo,2024,68188
Distrito de Vila Real,2001,45034
Distrito de Vila Real,2002,45712
Distrito de Vila Real,2003,46279
Distrito de Vila Real,2004,46833
Distrito de Vila Real,2005,47167
Distrito de Vila Real,2006,47372
Distrito de Vila Real,2007,47592
Distrito de Vila Real,2008,47866
Distrito de Vila Real,2009,48200
Distrito de Vila Real,2010,48603
Distrito de Vila Real,2011,48771
Distrito de Vila Real,2012,48764
Distrito de Vila Real,2013,49042
Distrito de Vila Real,2014,49671
Distrito de Vila Real,2015,50480
Distrito de Vila Real,2016,51287
Distrito de Vila Real,2017,52223
Distrito de Vila Real,2018,53354
Distrito de Vila Real,2019,54681
Distrito de Vila Real,2020,55883
Distrito de Vila Real,2021,56852
Distrito de Vila Real,2022,57810
Distrito de Vila Real,2023,58604
Distrito de Vila Real,2024,59346
Distrito de Viseu,2001,77383
Distrito de Viseu,2002,78196
Distrito de Viseu,2003,78729
Distrito de Viseu,2004,79405
Distrito de Viseu,2005,80001
Distrito de Viseu,2006,80517
Distrito de Viseu,2007,81041
Distrito de Viseu,2008,81560
Distrito de Viseu,2009,82272
Distrito de Viseu,2010,83239
Distrito de Viseu,2011,84501
Distrito de Viseu,2012,85304
Distrito de Viseu,2013,86032
Distrito de Viseu,2014,87331
Distrito de Viseu,2015,88671
Distrito de Viseu,2016,89988
Distrito de Viseu,2017,91566
Distrito de Viseu,2018,93335
Distrito de Viseu,2019,95384
Distrito de Viseu,2020,97590
Distrito de Viseu,2021,99298
Distrito de Viseu,2022,100591
Distrito de Viseu,2023,102000
Distrito de Viseu,2024,103498
Distrito de Évora,2001,39101
Distrito de Évora,2002,39645
Distrito de Évora,2003,39920
Distrito de Évora,2004,40240
Distrito de Évora,2005,40496
Distrito de Évora,2006,40464
Distrito de Évora,2007,40350
Distrito de Évora,2008,40226
Distrito de Évora,2009,40128
Distrito de Évora,2010,40109
Distrito de Évora,2011,40176
Distrito de Évora,2012,40247
Distrito de Évora,2013,40320
Distrito de Évora,2014,40378
Distrito de Évora,2015,40477
Distrito de Évora,2016,40627
Distrito de Évora,2017,40783
Distrito de Évora,2018,41003
Distrito de Évora,2019,41323
Distrito de Évora,2020,41486
Distrito de Évora,2021,41428
Distrito de Évora,2022,41389
Distrito de Évora,2023,41459
Distrito de Évora,2024,41570
Distrito do Porto,2001,221104
Distrito do Porto,2002,226629
Distrito do Porto,2003,231779
Distrito do Porto,2004,236999
Distrito do Porto,2005,242022
Distrito do Porto,2006,246540
Distrito do Porto,2007,251181
Distrito do Porto,2008,256537
Distrito do Porto,2009,262840
Distrito do Porto,2010,270884
Distrito do Porto,2011,280973
Distrito do Porto,2012,289734
Distrito do Porto,2013,297958
Distrito do Porto,2014,307164
Distrito do Porto,2015,316291
Distrito do Porto,2016,325931
Distrito do Porto,2017,335822
Distrito do Porto,2018,345408
Distrito do Porto,2019,355964
Distrito do Porto,2020,366881
Distrito do Porto,2021,378154
Distrito do Porto,2022,390741
Distrito do Porto,2023,403183
Distrito do Porto,2024,415543
Região Autónoma da Madeira,2001,33968
Região Autónoma da Madeira,2002,34508
Região Autónoma da Madeira,2003,34783
Região Autónoma da Madeira,2004,35009
Região Autónoma da Madeira,2005,35306
Região Autónoma da Madeira,2006,35691
Região Autónoma da Madeira,2007,36132
Região Autónoma da Madeira,2008,36526
Região Autónoma da Madeira,2009,36916
Região Autónoma da Madeira,2010,37397
Região Autónoma da Madeira,2011,38573
Região Autónoma da Madeira,2012,39738
Região Autónoma da Madeira,2013,40348
Região Autónoma da Madeira,2014,40946
Região Autónoma da Madeira,2015,41678
Região Autónoma da Madeira,2016,42715
Região Autónoma da Madeira,2017,43998
Região Autónoma da Madeira,2018,45388
Região Autónoma da Madeira,2019,47007
Região Autónoma da Madeira,2020,48836
Região Autónoma da Madeira,2021,50386
Região Autónoma da Madeira,2022,51633
Região Autónoma da Madeira,2023,52942
Região Autónoma da Madeira,2024,54508
Região Autónoma dos Açores,2001,31381
Região Autónoma dos Açores,2002,31306
Região Autónoma dos Açores,2003,31108
Região Autónoma dos Açores,2004,30916
Região Autónoma dos Açores,2005,30863
Região Autónoma dos Açores,2006,30928
Região Autónoma dos Açores,2007,30986
Região Autónoma dos Açores,2008,31057
Região Autónoma dos Açores,2009,31300
Região Autónoma dos Açores,2010,31652
Região Autónoma dos Açores,2011,32328
Região Autónoma dos Açores,2012,32939
Região Autónoma dos Açores,2013,33156
Região Autónoma dos Açores,2014,33446
Região Autónoma dos Açores,2015,34006
Região Autónoma dos Açores,2016,34757
Região Autónoma dos Açores,2017,35572
Região Autónoma dos Açores,2018,36448
Região Autónoma dos Açores,2019,37471
Região Autónoma dos Açores,2020,38446
Região Autónoma dos Açores,2021,39483
Região Autónoma dos Açores,2022,40505
Região Autónoma dos Açores,2023,41513
Região Autónoma dos Açores,2024,42704
