Territórios,Ano,Valor
Distrito da Guarda,2001,179343
Distrito da Guarda,2002,178075
Distrito da Guarda,2003,176374
Distrito da Guarda,2004,174486
Distrito da Guarda,2005,172628
Distrito da Guarda,2006,170725
Distrito da Guarda,2007,168799
Distrito da Guarda,2008,166750
Distrito da Guarda,2009,164672
Distrito da Guarda,2010,162529
Distrito da Guarda,2011,161271
Distrito da Guarda,2012,159935
Distrito da Guarda,2013,157531
Distrito da Guarda,2014,155196
Distrito da Guarda,2015,153027
Distrito da Guarda,2016,150911
Distrito da Guarda,2017,148835
Distrito da Guarda,2018,146882
Distrito da Guarda,2019,145291
Distrito da Guarda,2020,144311
Distrito da Guarda,2021,143420
Distrito da Guarda,2022,142250
Distrito da Guarda,2023,141814
Distrito da Guarda,2024,142106
Distrito de Aveiro,2001,713590
Distrito de Aveiro,2002,716208
Distrito de Aveiro,2003,717841
Distrito de Aveiro,2004,718491
Distrito de Aveiro,2005,718604
Distrito de Aveiro,2006,718743
Distrito de Aveiro,2007,718792
Distrito de Aveiro,2008,718245
Distrito de Aveiro,2009,717186
Distrito de Aveiro,2010,715732
Distrito de Aveiro,2011,714878
Distrito de Aveiro,2012,713031
Distrito de Aveiro,2013,709069
Distrito de Aveiro,2014,705044
Distrito de Aveiro,2015,701964
Distrito de Aveiro,2016,699886
Distrito de Aveiro,2017,698654
Distrito de Aveiro,2018,698462
Distrito de Aveiro,2019,700095
Distrito de Aveiro,2020,702808
Distrito de Aveiro,2021,706454
Distrito de Aveiro,2022,711765
Distrito de Aveiro,2023,720043
Distrito de Aveiro,2024,730117
Distrito de Beja,2001,160946
Distrito de Beja,2002,160485
Distrito de Beja,2003,159721
Distrito de Beja,2004,158930
Distrito de Beja,2005,158127
Distrito de Beja,2006,157285
Distrito de Beja,2007,156528
Distrito de Beja,2008,155611
Distrito de Beja,2009,154623
Distrito de Beja,2010,153633
Distrito de Beja,2011,152632
Distrito de Beja,2012,151423
Distrito de Beja,2013,149909
Distrito de Beja,2014,148501
Distrito de Beja,2015,147304
Distrito de Beja,2016,146230
Distrito de Beja,2017,145236
Distrito de Beja,2018,144470
Distrito de Beja,2019,144520
Distrito de Beja,2020,145122
Distrito de Beja,2021,145871
Distrito de Beja,2022,146904
Distrito de Beja,2023,148167
Distrito de Beja,2024,149216
Distrito de Braga,2001,832201
Distrito de Braga,2002,837440
Distrito de Braga,2003,841123
Distrito de Braga,2004,843795
Distrito de Braga,2005,846040
Distrito de Braga,2006,848079
Distrito de Braga,2007,849856
Distrito de Braga,2008,850525
Distrito de Braga,2009,850402
Distrito de Braga,2010,849535
Distrito de Braga,2011,848791
Distrito de Braga,2012,847177
Distrito de Braga,2013,843632
Distrito de Braga,2014,839956
Distrito de Braga,2015,837469
Distrito de Braga,2016,836719
Distrito de Braga,2017,837083
Distrito de Braga,2018,838640
Distrito de Braga,2019,842270
Distrito de Braga,2020,847168
Distrito de Braga,2021,849842
Distrito de Braga,2022,853111
Distrito de Braga,2023,859821
Distrito de Braga,2024,865544
Distrito de Bragança,2001,148443
Distrito de Bragança,2002,147741
Distrito de Bragança,2003,146749
Distrito de Bragança,2004,145591
Distrito de Bragança,2005,144319
Distrito de Bragança,2006,143020
Distrito de Bragança,2007,141775
Distrito de Bragança,2008,140384
Distrito de Bragança,2009,138938
Distrito de Bragança,2010,137425
Distrito de Bragança,2011,135688
Distrito de Bragança,2012,133954
Distrito de Bragança,2013,132284
Distrito de Bragança,2014,130652
Distrito de Bragança,2015,129138
Distrito de Bragança,2016,127821
Distrito de Bragança,2017,126719
Distrito de Bragança,2018,125734
Distrito de Bragança,2019,124936
Distrito de Bragança,2020,124050
Distrito de Bragança,2021,122968
Distrito de Bragança,2022,122416
Distrito de Bragança,2023,122560
Distrito de Bragança,2024,122552
Distrito de Castelo Branco,2001,207746
Distrito de Castelo Branco,2002,207141
Distrito de Castelo Branco,2003,206183
Distrito de Castelo Branco,2004,205079
Distrito de Castelo Branco,2005,203902
Distrito de Castelo Branco,2006,202676
Distrito de Castelo Branco,2007,201570
Distrito de Castelo Branco,2008,200286
Distrito de Castelo Branco,2009,198916
Distrito de Castelo Branco,2010,197531
Distrito de Castelo Branco,2011,195671
Distrito de Castelo Branco,2012,193296
Distrito de Castelo Branco,2013,190762
Distrito de Castelo Branco,2014,188330
Distrito de Castelo Branco,2015,186192
Distrito de Castelo Branco,2016,184226
Distrito de Castelo Branco,2017,182406
Distrito de Castelo Branco,2018,180775
Distrito de Castelo Branco,2019,179573
Distrito de Castelo Branco,2020,179020
Distrito de Castelo Branco,2021,178770
Distrito de Castelo Branco,2022,178463
Distrito de Castelo Branco,2023,178936
Distrito de Castelo Branco,2024,180252
Distrito de Coimbra,2001,440892
Distrito de Coimbra,2002,440927
Distrito de Coimbra,2003,440331
Distrito de Coimbra,2004,439327
Distrito de Coimbra,2005,438258
Distrito de Coimbra,2006,437167
Distrito de Coimbra,2007,436000
Distrito de Coimbra,2008,434728
Distrito de Coimbra,2009,433390
Distrito de Coimbra,2010,431813
Distrito de Coimbra,2011,430593
Distrito de Coimbra,2012,428555
Distrito de Coimbra,2013,425058
Distrito de Coimbra,2014,421639
Distrito de Coimbra,2015,418879
Distrito de Coimbra,2016,416511
Distrito de Coimbra,2017,414126
Distrito de Coimbra,2018,412052
Distrito de Coimbra,2019,411218
Distrito de Coimbra,2020,411073
Distrito de Coimbra,2021,411173
Distrito de Coimbra,2022,412198
Distrito de Coimbra,2023,415510
Distrito de Coimbra,2024,420788
Distrito de Faro,2001,397044
Distrito de Faro,2002,404486
Distrito de Faro,2003,410823
Distrito de Faro,2004,416078
Distrito de Faro,2005,421039
Distrito de Faro,2006,426172
Distrito de Faro,2007,431681
Distrito de Faro,2008,437327
Distrito de Faro,2009,442961
Distrito de Faro,2010,448570
Distrito de Faro,2011,451817
Distrito de Faro,2012,451704
Distrito de Faro,2013,450520
Distrito de Faro,2014,449963
Distrito de Faro,2015,450825
Distrito de Faro,2016,452494
Distrito de Faro,2017,454711
Distrito de Faro,2018,457858
Distrito de Faro,2019,462610
Distrito de Faro,2020,467756
Distrito de Faro,2021,469942
Distrito de Faro,2022,474304
Distrito de Faro,2023,481373
Distrito de Faro,2024,488439
Distrito de Leiria,2001,460018
Distrito de Leiria,2002,462837
Distrito de Leiria,2003,464863
Distrito de Leiria,2004,466288
Distrito de Leiria,2005,467417
Distrito de Leiria,2006,468564
Distrito de Leiria,2007,469751
Distrito de Leiria,2008,470564
Distrito de Leiria,2009,471144
Distrito de Leiria,2010,471537
Distrito de Leiria,2011,471840
Distrito de Leiria,2012,470463
Distrito de Leiria,2013,467111
Distrito de Leiria,2014,463743
Distrito de Leiria,2015,461224
Distrito de Leiria,2016,459297
Distrito de Leiria,2017,457466
Distrito de Leiria,2018,456026
Distrito de Leiria,2019,456232
Distrito de Leiria,2020,459075
Distrito de Leiria,2021,463131
Distrito de Leiria,2022,467632
Distrito de Leiria,2023,474680
Distrito de Leiria,2024,482926
Distrito de Lisboa,2001,2138058
Distrito de Lisboa,2002,2156865
Distrito de Lisboa,2003,2171632
Distrito de Lisboa,2004,2182306
Distrito de Lisboa,2005,2191572
Distrito de Lisboa,2006,2201095
Distrito de Lisboa,2007,2211759
Distrito de Lisboa,2008,2223398
Distrito de Lisboa,2009,2235155
Distrito de Lisboa,2010,2246101
Distrito de Lisboa,2011,2248572
Distrito de Lisboa,2012,2244442
Distrito de Lisboa,2013,2240930
Distrito de Lisboa,2014,2240773
Distrito de Lisboa,2015,2246159
Distrito de Lisboa,2016,2252507
Distrito de Lisboa,2017,2260006
Distrito de Lisboa,2018,2268562
Distrito de Lisboa,2019,2282315
Distrito de Lisboa,2020,2289228
Distrito de Lisboa,2021,2287057
Distrito de Lisboa,2022,2304559
