Territórios,Ano,0-19,20-34,35-64,65+,Total
Distrito da Guarda,2001,35813,32039,66229,45320,179343
Distrito da Guarda,2002,34462,32106,66015,45554,178075
Distrito da Guarda,2003,33197,31829,65841,45560,176374
Distrito da Guarda,2004,31975,31400,65578,45591,174486
Distrito da Guarda,2005,30928,30823,65380,45554,172628
Distrito da Guarda,2006,30093,30016,65350,45326,170725
Distrito da Guarda,2007,29277,29124,65464,44993,168799
Distrito da Guarda,2008,28481,28158,65486,44681,166750
Distrito da Guarda,2009,27742,27149,65393,44450,164672
Distrito da Guarda,2010,26824,26118,65250,44405,162529
Distrito da Guarda,2011,25836,25179,65036,45281,161271
Distrito da Guarda,2012,24913,24225,64890,45962,159935
Distrito da Guarda,2013,24012,23105,64514,45959,157531
Distrito da Guarda,2014,23224,21989,63801,46235,155196
Distrito da Guarda,2015,22596,20917,63066,46507,153027
Distrito da Guarda,2016,22024,19885,62239,46818,150911
Distrito da Guarda,2017,21471,18939,61235,47246,148835
Distrito da Guarda,2018,20913,18166,60129,47731,146882
Distrito da Guarda,2019,20407,17549,59031,48363,145291
Distrito da Guarda,2020,19969,17369,58052,48979,144311
Distrito da Guarda,2021,19553,17612,57054,49255,143420
Distrito da Guarda,2022,19174,17826,55985,49322,142250
Distrito da Guarda,2023,18946,18271,55195,49467,141814
Distrito da Guarda,2024,18765,19003,54739,49664,142106
Distrito de Aveiro,2001,171166,167906,271789,102811,713590
Distrito de Aveiro,2002,168068,166985,276285,104947,716208
Distrito de Aveiro,2003,165239,165275,280441,106966,717841
Distrito de Aveiro,2004,162248,162927,284362,109034,718491
Distrito de Aveiro,2005,159449,159965,288340,110935,718604
Distrito de Aveiro,2006,157039,156238,292761,112793,718743
Distrito de Aveiro,2007,154578,152191,297370,114729,718792
Distrito de Aveiro,2008,152225,147857,301473,116774,718245
Distrito de Aveiro,2009,149870,143166,305371,118861,717186
Distrito de Aveiro,2010,146983,138222,308865,121744,715732
Distrito de Aveiro,2011,144138,133593,311054,126177,714878
Distrito de Aveiro,2012,141675,129204,312504,129734,713031
Distrito de Aveiro,2013,138967,124947,312829,132407,709069
Distrito de Aveiro,2014,136317,121131,311914,135761,705044
Distrito de Aveiro,2015,134000,117812,311087,139144,701964
Distrito de Aveiro,2016,131870,115133,310374,142590,699886
Distrito de Aveiro,2017,129992,112911,309530,146292,698654
Distrito de Aveiro,2018,128391,111316,308579,150259,698462
Distrito de Aveiro,2019,127033,110424,307855,154864,700095
Distrito de Aveiro,2020,125335,110817,307078,159655,702808
Distrito de Aveiro,2021,123624,112208,306503,164200,706454
Distrito de Aveiro,2022,122703,113666,306673,168815,711765
