Territórios,Ano,Mortalidade (%)
Distrito da Guarda,2001,1.54
Distrito da Guarda,2009,1.66
Distrito da Guarda,2010,1.77
Distrito da Guarda,2011,1.64
Distrito da Guarda,2012,1.76
Distrito da Guarda,2013,1.71
Distrito da Guarda,2014,1.68
Distrito da Guarda,2015,1.86
Distrito da Guarda,2016,1.88
Distrito da Guarda,2017,1.88
Distrito da Guarda,2018,1.92
Distrito da Guarda,2019,2.01
Distrito da Guarda,2020,2.06
Distrito da Guarda,2021,2.19
Distrito da Guarda,2022,2.1
Distrito da Guarda,2023,1.94
Distrito da Guarda,2024,1.88
Distrito de Aveiro,2001,0.95
Distrito de Aveiro,2009,0.94
Distrito de Aveiro,2010,0.94
Distrito de Aveiro,2011,0.95
Distrito de Aveiro,2012,1.01
Distrito de Aveiro,2013,0.99
Distrito de Aveiro,2014,0.97
Distrito de Aveiro,2015,1.01
Distrito de Aveiro,2016,1.05
Distrito de Aveiro,2017,1.05
Distrito de Aveiro,2018,1.06
Distrito de Aveiro,2019,1.06
Distrito de Aveiro,2020,1.17
Distrito de Aveiro,2021,1.17
Distrito de Aveiro,2022,1.17
Distrito de Aveiro,2023,1.11
Distrito de Aveiro,2024,1.09
Distrito de Beja,2001,1.63
Distrito de Beja,2009,1.67
Distrito de Beja,2010,1.72
Distrito de Beja,2011,1.73
Distrito de Beja,2012,1.72
Distrito de Beja,2013,1.65
Distrito de Beja,2014,1.61
Distrito de Beja,2015,1.76
Distrito de Beja,2016,1.77
Distrito de Beja,2017,1.67
Distrito de Beja,2018,1.75
Distrito de Beja,2019,1.71
Distrito de Beja,2020,1.82
Distrito de Beja,2021,2.0
Distrito de Beja,2022,1.94
Distrito de Beja,2023,1.88
Distrito de Beja,2024,1.86
Distrito de Braga,2001,0.86
Distrito de Braga,2009,0.87
Distrito de Braga,2010,0.88
Distrito de Braga,2011,0.89
Distrito de Braga,2012,0.94
Distrito de Braga,2013,0.91
Distrito de Braga,2014,0.85
Distrito de Braga,2015,0.93
Distrito de Braga,2016,0.92
Distrito de Braga,2017,0.96
Distrito de Braga,2018,1.0
Distrito de Braga,2019,0.95
Distrito de Braga,2020,1.07
Distrito de Braga,2021,1.01
Distrito de Braga,2022,1.07
Distrito de Braga,2023,1.01
Distrito de Braga,2024,1.02
Distrito de Bragança,2001,1.51
Distrito de Bragança,2009,1.46
Distrito de Bragança,2010,1.55
Distrito de Bragança,2011,1.59
Distrito de Bragança,2012,1.7
Distrito de Bragança,2013,1.68
Distrito de Bragança,2014,1.57
Distrito de Bragança,2015,1.76
Distrito de Bragança,2016,1.76
Distrito de Bragança,2017,1.75
Distrito de Bragança,2018,1.68
Distrito de Bragança,2019,1.75
Distrito de Bragança,2020,2.04
Distrito de Bragança,2021,1.96
Distrito de Bragança,2022,1.93
Distrito de Bragança,2023,1.76
Distrito de Bragança,2024,1.97
Distrito de Castelo Branco,2001,1.75
Distrito de Castelo Branco,2009,1.87
Distrito de Castelo Branco,2010,1.9
Distrito de Castelo Branco,2011,1.78
Distrito de Castelo Branco,2012,2.02
Distrito de Castelo Branco,2013,1.92
Distrito de Castelo Branco,2014,1.84
Distrito de Castelo Branco,2015,1.9
Distrito de Castelo Branco,2016,1.94
Distrito de Castelo Branco,2017,1.86
Distrito de Castelo Branco,2018,1.86
Distrito de Castelo Branco,2019,1.92
Distrito de Castelo Branco,2020,2.06
Distrito de Castelo Branco,2021,1.92
Distrito de Castelo Branco,2022,2.04
Distrito de Castelo Branco,2023,1.94
Distrito de Castelo Branco,2024,1.95
Distrito de Coimbra,2001,1.36
Distrito de Coimbra,2009,1.31
Distrito de Coimbra,2010,1.38
Distrito de Coimbra,2011,1.31
Distrito de Coimbra,2012,1.46
Distrito de Coimbra,2013,1.34
Distrito de Coimbra,2014,1.33
Distrito de Coimbra,2015,1.35
Distrito de Coimbra,2016,1.39
Distrito de Coimbra,2017,1.46
Distrito de Coimbra,2018,1.46
Distrito de Coimbra,2019,1.4
Distrito de Coimbra,2020,1.61
Distrito de Coimbra,2021,1.66
Distrito de Coimbra,2022,1.56
Distrito de Coimbra,2023,1.46
Distrito de Coimbra,2024,1.47
Distrito de Faro,2001,1.27
Distrito de Faro,2009,1.23
Distrito de Faro,2010,1.17
Distrito de Faro,2011,1.21
Distrito de Faro,2012,1.27
Distrito de Faro,2013,1.25
Distrito de Faro,2014,1.26
Distrito de Faro,2015,1.26
Distrito de Faro,2016,1.37
Distrito de Faro,2017,1.4
Distrito de Faro,2018,1.35
Distrito de Faro,2019,1.33
Distrito de Faro,2020,1.42
Distrito de Faro,2021,1.45
Distrito de Faro,2022,1.48
Distrito de Faro,2023,1.37
Distrito de Faro,2024,1.31
Distrito de Leiria,2001,1.23
Distrito de Leiria,2009,1.24
Distrito de Leiria,2010,1.27
Distrito de Leiria,2011,1.24
Distrito de Leiria,2012,1.29
Distrito de Leiria,2013,1.33
Distrito de Leiria,2014,1.33
Distrito de Leiria,2015,1.29
Distrito de Leiria,2016,1.41
Distrito de Leiria,2017,1.39
Distrito de Leiria,2018,1.44
Distrito de Leiria,2019,1.39
Distrito de Leiria,2020,1.48
Distrito de Leiria,2021,1.57
Distrito de Leiria,2022,1.49
Distrito de Leiria,2023,1.29
Distrito de Leiria,2024,1.27
Distrito de Lisboa,2001,1.05
Distrito de Lisboa,2009,0.97
Distrito de Lisboa,2010,0.99
Distrito de Lisboa,2011,0.96
Distrito de Lisboa,2012,1.01
Distrito de Lisboa,2013,0.98
Distrito de Lisboa,2014,0.96
Distrito de Lisboa,2015,0.99
Distrito de Lisboa,2016,1.02
Distrito de Lisboa,2017,1.0
Distrito de Lisboa,2018,1.05
Distrito de Lisboa,2019,1.0
Distrito de Lisboa,2020,1.11
Distrito de Lisboa,2021,1.21
Distrito de Lisboa,2022,1.13
Distrito de Lisboa,2023,1.04
Distrito de Lisboa,2024,0.98
Distrito de Portalegre,2001,1.8
Distrito de Portalegre,2009,1.8
Distrito de Portalegre,2010,1.86
