"Territórios","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Arcos de Valdevez",24686,24603,24448,24259,24062,23854,23692,23519,23297,23046,22645,22240,21944,21664,21420,21227,21076,20926,20844,20826,20754,20703,20786,20839
"Caminha",17055,17100,17088,17051,17013,16986,16959,16892,16839,16778,16724,16641,16500,16345,16177,16045,15940,15873,15848,15863,15917,16078,16324,16523
"Melgaço",9971,9949,9889,9796,9715,9630,9538,9465,9393,9301,9134,8937,8785,8652,8531,8418,8279,8136,8029,7901,7755,7654,7607,7578
"Monção",19925,19950,19919,19843,19773,19698,19615,19536,19448,19343,19187,18994,18782,18556,18361,18199,18063,17953,17890,17909,17898,17887,17974,18018
"Paredes de Coura",9565,9556,9509,9459,9429,9404,9368,9321,9280,9240,9138,9029,8952,8869,8811,8761,8706,8677,8685,8711,8703,8680,8693,8699
"Ponte da Barca",12866,12861,12798,12711,12630,12541,12458,12368,12264,12149,12037,11924,11799,11669,11532,11426,11335,11250,11194,11150,11088,11078,11142,11194
"Ponte de Lima",44297,44377,44404,44380,44332,44261,44186,44064,43888,43677,43493,43264,42898,42501,42181,41922,41657,41463,41345,41318,41240,41104,41098,41098
"Valença",14187,14235,14237,14237,14234,14221,14203,14189,14176,14161,14091,13985,13886,13768,13678,13624,13573,13530,13554,13644,13749,13867,14046,14228
"Viana do Castelo",88645,89065,89332,89496,89586,89573,89558,89438,89263,89031,88635,88131,87551,86964,86516,86213,85962,85777,85753,85995,86091,86131,86518,86878
"Vila Nova de Cerveira",8886,8963,9027,9076,9104,9133,9174,9214,9244,9275,9260,9183,9100,9023,8954,8889,8833,8818,8866,8920,8970,9099,9259,9376
"Amares",18528,18654,18731,18781,18836,18883,18926,18940,18942,18924,18893,18832,18709,18569,18454,18384,18369,18385,18433,18568,18764,19041,19398,19680
"Barcelos",122041,122368,122454,122428,122348,122222,122050,121739,121325,120787,120277,119731,118977,118209,117588,117152,116817,116655,116784,117091,116947,116664,116845,116982
"Braga",164886,167325,169499,171404,173254,175051,176769,178315,179717,180948,182122,182929,183177,183421,184022,185038,186432,188349,191066,193292,194588,196765,199919,202551
"Esposende",33380,33657,33838,33944,34038,34126,34216,34289,34327,34315,34384,34435,34372,34303,34245,34268,34365,34501,34714,35076,35519,36101,36796,37426
"Terras de Bouro",8306,8231,8133,8032,7929,7838,7740,7622,7494,7353,7193,7053,6945,6847,6758,6674,6597,6517,6445,6410,6387,6367,6377,6372
"Vila Verde",46665,47023,47288,47465,47619,47786,47924,47978,48017,48014,47892,47632,47248,46828,46484,46249,46072,45960,45962,46316,46785,47233,47836,48426
"Cabeceiras de Basto",17800,17746,17665,17556,17452,17362,17272,17162,17006,16828,16661,16503,16325,16147,16028,15916,15785,15683,15627,15627,15585,15520,15535,15549
"Fafe",52688,52729,52645,52500,52344,52164,51920,51574,51236,50890,50605,50336,49955,49551,49219,49015,48850,48677,48582,48626,48520,48358,48432,48467
"Guimarães",159568,160061,160276,160372,160299,160182,160089,159766,159266,158611,158212,157913,157300,156671,156222,156126,156245,156462,156825,157190,156907,156491,156642,156651
"Mondim de Basto",8541,8486,8402,8303,8203,8099,7988,7849,7712,7587,7464,7344,7204,7056,6926,6810,6700,6609,6530,6475,6446,6420,6407,6400
"Póvoa de Lanhoso",22709,22748,22752,22689,22604,22517,22419,22285,22117,21969,21917,21866,21725,21587,21479,21398,21346,21347,21417,21686,22003,22210,22459,22769
"Vieira do Minho",14657,14541,14393,14242,14075,13891,13720,13546,13341,13127,13026,12944,12794,12655,12511,12389,12280,12159,12075,12061,12032,11989,12023,12067
"Vila Nova de Famalicão",127879,129026,129963,130786,131539,132234,132881,133344,133651,133849,133867,133598,133102,132587,132252,132152,132169,132360,132854,133630,134076,134576,135531,136349
"Vizela",22655,22841,22993,23148,23313,23457,23577,23653,23705,23739,23747,23703,23625,23548,23493,23485,23523,23605,23694,23859,24035,24192,24413,24609
"Arouca",24144,24014,23857,23685,23499,23316,23145,22948,22735,22505,22317,22176,22005,21815,21674,21594,21506,21406,21324,21266,21141,20991,20929,20871
"Espinho",33629,33581,33477,33338,33173,33000,32808,32577,32298,31983,31866,31820,31622,31435,31301,31216,31205,31228,31247,31221,31308,31662,32139,32565
"Gondomar",164333,165268,166010,166590,167093,167584,168063,168315,168363,168278,168151,167774,167001,166151,165469,165019,164736,164588,164647,164857,165307,166463,167917,168985
"Maia",120743,122622,124354,125979,127601,129191,130761,132237,133558,134759,135536,135588,135216,134839,134621,134522,134544,134723,135053,135353,136517,138964,141463,143629
"Matosinhos",167429,168760,169921,170943,171847,172730,173611,174348,174939,175412,175813,175688,174989,174322,173811,173542,173529,173665,174027,173772,173943,175894,178351,180302
"Oliveira de Azeméis",70659,70730,70702,70557,70350,70161,69986,69711,69339,68925,68578,68200,67669,67163,66734,66393,66213,66161,66142,66299,66539,66743,67073,67374
"Paredes",83526,84159,84714,85195,85635,86072,86443,86658,86782,86843,86732,86361,85857,85356,84953,84688,84497,84364,84321,84523,84842,85179,85700,86288
"Porto",262013,260189,258055,255676,253285,250861,248323,245528,242652,239650,236964,235512,234798,234032,233612,233716,234125,234885,236170,234938,234438,239510,245893,250728
"Póvoa de Varzim",63435,63714,63910,63990,63988,63976,63955,63851,63719,63579,63554,63556,63393,63209,63133,63192,63334,63585,63992,64384,64817,65685,66892,67992
"Santa Maria da Feira",136092,136987,137729,138272,138678,139075,139421,139547,139556,139483,139295,138879,138226,137463,136859,136541,136385,136376,136544,136960,137296,137961,139195,140203
"Santo Tirso",72413,72662,72806,72856,72828,72738,72625,72434,72157,71813,71536,71186,70604,70021,69520,69094,68703,68374,68161,68037,67825,67684,67766,67770
"São João da Madeira",21136,21294,21412,21493,21571,21640,21699,21730,21744,21740,21792,21843,21815,21796,21779,21785,21839,21961,22140,22244,22520,23069,23606,24055
"Trofa",37646,37941,38172,38346,38507,38672,38806,38893,38961,39015,39035,38964,38799,38601,38451,38407,38416,38437,38502,38608,38831,39291,39789,40146
"Vale de Cambra",24732,24615,24475,24327,24153,23937,23715,23494,23269,23036,22829,22632,22380,22130,21902,21704,21547,21417,21341,21335,21317,21267,21248,21245
