Distrito,Causa_Morte,Ano,Obitos
Distrito da Guarda,Diabetes,2001,78
Distrito da Guarda,Doenças do aparelho circulatório,2001,1010
Distrito da Guarda,Doenças do aparelho digestivo,2001,121
Distrito da Guarda,Doenças do aparelho respiratório,2001,196
Distrito da Guarda,SIDA,2001,4
Distrito da Guarda,Suicídio,2001,7
Distrito da Guarda,Tuberculose,2001,3
Distrito da Guarda,Tumores malignos,2001,466
Distrito da Guarda,Diabetes,2002,82
Distrito da Guarda,Doenças do aparelho circulatório,2002,982
Distrito da Guarda,Doenças do aparelho digestivo,2002,123
Distrito da Guarda,Doenças do aparelho respiratório,2002,208
Distrito da Guarda,SIDA,2002,4
Distrito da Guarda,Suicídio,2002,8
Distrito da Guarda,Tuberculose,2002,3
Distrito da Guarda,Tumores malignos,2002,474
Distrito da Guarda,Diabetes,2003,86
Distrito da Guarda,Doenças do aparelho circulatório,2003,954
Distrito da Guarda,Doenças do aparelho digestivo,2003,126
Distrito da Guarda,Doenças do aparelho respiratório,2003,220
Distrito da Guarda,SIDA,2003,3
Distrito da Guarda,Suicídio,2003,9
Distrito da Guarda,Tuberculose,2003,3
Distrito da Guarda,Tumores malignos,2003,483
Distrito da Guarda,Diabetes,2004,90
Distrito da Guarda,Doenças do aparelho circulatório,2004,926
Distrito da Guarda,Doenças do aparelho digestivo,2004,128
Distrito da Guarda,Doenças do aparelho respiratório,2004,233
Distrito da Guarda,SIDA,2004,3
Distrito da Guarda,Suicídio,2004,10
Distrito da Guarda,Tuberculose,2004,3
Distrito da Guarda,Tumores malignos,2004,491
Distrito da Guarda,Diabetes,2005,94
Distrito da Guarda,Doenças do aparelho circulatório,2005,898
Distrito da Guarda,Doenças do aparelho digestivo,2005,130
Distrito da Guarda,Doenças do aparelho respiratório,2005,245
Distrito da Guarda,SIDA,2005,2
Distrito da Guarda,Suicídio,2005,11
Distrito da Guarda,Tuberculose,2005,3
Distrito da Guarda,Tumores malignos,2005,500
Distrito da Guarda,Diabetes,2006,99
Distrito da Guarda,Doenças do aparelho circulatório,2006,871
Distrito da Guarda,Doenças do aparelho digestivo,2006,133
Distrito da Guarda,Doenças do aparelho respiratório,2006,257
Distrito da Guarda,SIDA,2006,2
Distrito da Guarda,Suicídio,2006,12
Distrito da Guarda,Tuberculose,2006,3
Distrito da Guarda,Tumores malignos,2006,508
Distrito da Guarda,Diabetes,2007,103
Distrito da Guarda,Doenças do aparelho circulatório,2007,843
Distrito da Guarda,Doenças do aparelho digestivo,2007,135
Distrito da Guarda,Doenças do aparelho respiratório,2007,270
Distrito da Guarda,SIDA,2007,2
Distrito da Guarda,Suicídio,2007,13
Distrito da Guarda,Tuberculose,2007,3
Distrito da Guarda,Tumores malignos,2007,516
Distrito da Guarda,Diabetes,2008,107
Distrito da Guarda,Doenças do aparelho circulatório,2008,815
Distrito da Guarda,Doenças do aparelho digestivo,2008,138
Distrito da Guarda,Doenças do aparelho respiratório,2008,282
Distrito da Guarda,SIDA,2008,1
Distrito da Guarda,Suicídio,2008,14
Distrito da Guarda,Tuberculose,2008,3
Distrito da Guarda,Tumores malignos,2008,525
Distrito da Guarda,Diabetes,2009,111
Distrito da Guarda,Doenças do aparelho circulatório,2009,787
Distrito da Guarda,Doenças do aparelho digestivo,2009,140
Distrito da Guarda,Doenças do aparelho respiratório,2009,294
Distrito da Guarda,SIDA,2009,1
Distrito da Guarda,Suicídio,2009,15
Distrito da Guarda,Tuberculose,2009,3
Distrito da Guarda,Tumores malignos,2009,533
Distrito da Guarda,Diabetes,2010,90
Distrito da Guarda,Doenças do aparelho circulatório,2010,866
Distrito da Guarda,Doenças do aparelho digestivo,2010,137
Distrito da Guarda,Doenças do aparelho respiratório,2010,270
Distrito da Guarda,SIDA,2010,2
Distrito da Guarda,Suicídio,2010,19
Distrito da Guarda,Tuberculose,2010,1
Distrito da Guarda,Tumores malignos,2010,485
Distrito da Guarda,Diabetes,2011,91
Distrito da Guarda,Doenças do aparelho circulatório,2011,713
Distrito da Guarda,Doenças do aparelho digestivo,2011,134
Distrito da Guarda,Doenças do aparelho respiratório,2011,278
Distrito da Guarda,SIDA,2011,1
Distrito da Guarda,Suicídio,2011,19
Distrito da Guarda,Tuberculose,2011,2
Distrito da Guarda,Tumores malignos,2011,549
Distrito da Guarda,Diabetes,2012,112
Distrito da Guarda,Doenças do aparelho circulatório,2012,791
Distrito da Guarda,Doenças do aparelho digestivo,2012,112
Distrito da Guarda,Doenças do aparelho respiratório,2012,363
Distrito da Guarda,SIDA,2012,0
Distrito da Guarda,Suicídio,2012,16
Distrito da Guarda,Tuberculose,2012,1
Distrito da Guarda,Tumores malignos,2012,542
Distrito da Guarda,Diabetes,2013,88
Distrito da Guarda,Doenças do aparelho circulatório,2013,723
Distrito da Guarda,Doenças do aparelho digestivo,2013,150
Distrito da Guarda,Doenças do aparelho respiratório,2013,342
Distrito da Guarda,SIDA,2013,3
Distrito da Guarda,Suicídio,2013,17
Distrito da Guarda,Tuberculose,2013,7
Distrito da Guarda,Tumores malignos,2013,521
Distrito da Guarda,Diabetes,2014,119
Distrito da Guarda,Doenças do aparelho circulatório,2014,732
Distrito da Guarda,Doenças do aparelho digestivo,2014,123
Distrito da Guarda,Doenças do aparelho respiratório,2014,320
Distrito da Guarda,SIDA,2014,0
Distrito da Guarda,Suicídio,2014,23
Distrito da Guarda,Tuberculose,2014,2
Distrito da Guarda,Tumores malignos,2014,504
Distrito da Guarda,Diabetes,2015,89
Distrito da Guarda,Doenças do aparelho circulatório,2015,733
Distrito da Guarda,Doenças do aparelho digestivo,2015,133
Distrito da Guarda,Doenças do aparelho respiratório,2015,383
Distrito da Guarda,SIDA,2015,2
Distrito da Guarda,Suicídio,2015,16
Distrito da Guarda,Tuberculose,2015,5
Distrito da Guarda,Tumores malignos,2015,524
Distrito da Guarda,Diabetes,2016,98
Distrito da Guarda,Doenças do aparelho circulatório,2016,708
Distrito da Guarda,Doenças do aparelho digestivo,2016,153
Distrito da Guarda,Doenças do aparelho respiratório,2016,342
Distrito da Guarda,SIDA,2016,3
Distrito da Guarda,Suicídio,2016,12
Distrito da Guarda,Tuberculose,2016,3
Distrito da Guarda,Tumores malignos,2016,550
Distrito da Guarda,Diabetes,2017,87
Distrito da Guarda,Doenças do aparelho circulatório,2017,682
Distrito da Guarda,Doenças do aparelho digestivo,2017,126
Distrito da Guarda,Doenças do aparelho respiratório,2017,346
Distrito da Guarda,SIDA,2017,0
Distrito da Guarda,Suicídio,2017,19
Distrito da Guarda,Tuberculose,2017,2
Distrito da Guarda,Tumores malignos,2017,527
Distrito da Guarda,Diabetes,2018,102
