Distrito,Ano,Total_Profissionais
Distrito da Guarda,2001,959
Distrito da Guarda,2002,975
Distrito da Guarda,2003,992
Distrito da Guarda,2004,1008
Distrito da Guarda,2005,1024
Distrito da Guarda,2006,1041
Distrito da Guarda,2007,1057
Distrito da Guarda,2008,1074
Distrito da Guarda,2009,1090
Distrito da Guarda,2010,1025
Distrito da Guarda,2011,976
Distrito da Guarda,2012,1062
Distrito da Guarda,2013,1025
Distrito da Guarda,2014,1124
Distrito da Guarda,2015,1168
Distrito da Guarda,2016,1185
Distrito da Guarda,2017,1373
Distrito da Guarda,2018,1428
Distrito da Guarda,2019,1466
Distrito da Guarda,2020,1601
Distrito da Guarda,2021,1648
Distrito da Guarda,2022,1657
Distrito da Guarda,2023,1646
Distrito de Aveiro,2001,3562
Distrito de Aveiro,2002,3575
Distrito de Aveiro,2003,3588
Distrito de Aveiro,2004,3600
Distrito de Aveiro,2005,3613
Distrito de Aveiro,2006,3626
Distrito de Aveiro,2007,3638
Distrito de Aveiro,2008,3651
Distrito de Aveiro,2009,3664
Distrito de Aveiro,2010,6539
Distrito de Aveiro,2011,3516
Distrito de Aveiro,2012,3495
Distrito de Aveiro,2013,3549
Distrito de Aveiro,2014,3545
Distrito de Aveiro,2015,3568
Distrito de Aveiro,2016,3686
Distrito de Aveiro,2017,3857
Distrito de Aveiro,2018,4048
Distrito de Aveiro,2019,4100
Distrito de Aveiro,2020,4321
Distrito de Aveiro,2021,4443
Distrito de Aveiro,2022,4475
Distrito de Aveiro,2023,4534
Distrito de Beja,2001,810
Distrito de Beja,2002,853
Distrito de Beja,2003,895
Distrito de Beja,2004,938
Distrito de Beja,2005,980
Distrito de Beja,2006,1023
Distrito de Beja,2007,1066
Distrito de Beja,2008,1108
Distrito de Beja,2009,1151
Distrito de Beja,2010,1197
Distrito de Beja,2011,1208
Distrito de Beja,2012,1201
Distrito de Beja,2013,1073
Distrito de Beja,2014,1109
Distrito de Beja,2015,1136
Distrito de Beja,2016,1180
Distrito de Beja,2017,1143
Distrito de Beja,2018,1171
Distrito de Beja,2019,1217
Distrito de Beja,2020,1284
Distrito de Beja,2021,1263
Distrito de Beja,2022,1204
Distrito de Beja,2023,1198
Distrito de Braga,2001,4151
Distrito de Braga,2002,4310
Distrito de Braga,2003,4469
Distrito de Braga,2004,4628
Distrito de Braga,2005,4787
Distrito de Braga,2006,4946
Distrito de Braga,2007,5105
Distrito de Braga,2008,5264
Distrito de Braga,2009,5423
Distrito de Braga,2010,5069
Distrito de Braga,2011,4986
Distrito de Braga,2012,4990
Distrito de Braga,2013,5345
Distrito de Braga,2014,5147
Distrito de Braga,2015,5430
Distrito de Braga,2016,5308
Distrito de Braga,2017,5439
Distrito de Braga,2018,5610
Distrito de Braga,2019,5301
Distrito de Braga,2020,5893
Distrito de Braga,2021,5932
Distrito de Braga,2022,6063
Distrito de Braga,2023,6245
Distrito de Bragança,2001,1026
Distrito de Bragança,2002,1052
Distrito de Bragança,2003,1079
Distrito de Bragança,2004,1105
Distrito de Bragança,2005,1132
Distrito de Bragança,2006,1158
Distrito de Bragança,2007,1184
Distrito de Bragança,2008,1211
Distrito de Bragança,2009,1237
Distrito de Bragança,2010,1241
Distrito de Bragança,2011,1273
Distrito de Bragança,2012,1141
Distrito de Bragança,2013,1133
Distrito de Bragança,2014,1046
Distrito de Bragança,2015,1173
Distrito de Bragança,2016,1050
Distrito de Bragança,2017,1209
Distrito de Bragança,2018,1216
Distrito de Bragança,2019,1340
Distrito de Bragança,2020,1399
Distrito de Bragança,2021,1375
Distrito de Bragança,2022,1414
Distrito de Bragança,2023,1406
Distrito de Castelo Branco,2001,1923
Distrito de Castelo Branco,2002,1947
Distrito de Castelo Branco,2003,1971
Distrito de Castelo Branco,2004,1995
Distrito de Castelo Branco,2005,2019
Distrito de Castelo Branco,2006,2043
Distrito de Castelo Branco,2007,2067
Distrito de Castelo Branco,2008,2091
Distrito de Castelo Branco,2009,2115
Distrito de Castelo Branco,2010,2270
Distrito de Castelo Branco,2011,2070
Distrito de Castelo Branco,2012,2190
Distrito de Castelo Branco,2013,2232
Distrito de Castelo Branco,2014,2219
Distrito de Castelo Branco,2015,2224
Distrito de Castelo Branco,2016,2221
Distrito de Castelo Branco,2017,2251
Distrito de Castelo Branco,2018,2221
Distrito de Castelo Branco,2019,2191
Distrito de Castelo Branco,2020,2361
Distrito de Castelo Branco,2021,2449
Distrito de Castelo Branco,2022,2438
Distrito de Castelo Branco,2023,2393
Distrito de Coimbra,2001,9267
Distrito de Coimbra,2002,9338
Distrito de Coimbra,2003,9410
Distrito de Coimbra,2004,9482
Distrito de Coimbra,2005,9553
Distrito de Coimbra,2006,9624
Distrito de Coimbra,2007,9696
Distrito de Coimbra,2008,9768
Distrito de Coimbra,2009,9839
Distrito de Coimbra,2010,9788
Distrito de Coimbra,2011,9812
Distrito de Coimbra,2012,9383
Distrito de Coimbra,2013,9324
Distrito de Coimbra,2014,8927
Distrito de Coimbra,2015,9337
Distrito de Coimbra,2016,9424
Distrito de Coimbra,2017,9570
Distrito de Coimbra,2018,9711
Distrito de Coimbra,2019,9992
Distrito de Coimbra,2020,10669
Distrito de Coimbra,2021,10796
Distrito de Coimbra,2022,10699
Distrito de Coimbra,2023,10677
Distrito de Faro,2001,3016
Distrito de Faro,2002,3128
Distrito de Faro,2003,3241
Distrito de Faro,2004,3354
Distrito de Faro,2005,3466
Distrito de Faro,2006,3578
Distrito de Faro,2007,3691
Distrito de Faro,2008,3804
Distrito de Faro,2009,3916
Distrito de Faro,2010,3913
Distrito de Faro,2011,3985
Distrito de Faro,2012,3994
Distrito de Faro,2013,3889
Distrito de Faro,2014,3881
Distrito de Faro,2015,4047
Distrito de Faro,2016,4122
Distrito de Faro,2017,4198
Distrito de Faro,2018,4164
Distrito de Faro,2019,4491
Distrito de Faro,2020,4719
Distrito de Faro,2021,4986
Distrito de Faro,2022,4994
Distrito de Faro,2023,4963
Distrito de Leiria,2001,2412
Distrito de Leiria,2002,2425
Distrito de Leiria,2003,2438
Distrito de Leiria,2004,2451
Distrito de Leiria,2005,2464
Distrito de Leiria,2006,2478
Distrito de Leiria,2007,2491
Distrito de Leiria,2008,2504
Distrito de Leiria,2009,2517
Distrito de Leiria,2010,2478
Distrito de Leiria,2011,2226
Distrito de Leiria,2012,2484
Distrito de Leiria,2013,2409
Distrito de Leiria,2014,2545
Distrito de Leiria,2015,2654
Distrito de Leiria,2016,2567
Distrito de Leiria,2017,2737
Distrito de Leiria,2018,2956
Distrito de Leiria,2019,3673
Distrito de Leiria,2020,3901
Distrito de Leiria,2021,3959
Distrito de Leiria,2022,3961
Distrito de Leiria,2023,3940
Distrito de Lisboa,2001,26293
Distrito de Lisboa,2002,26362
Distrito de Lisboa,2003,26431
Distrito de Lisboa,2004,26500
Distrito de Lisboa,2005,26570
Distrito de Lisboa,2006,26639
Distrito de Lisboa,2007,26708
Distrito de Lisboa,2008,26777
Distrito de Lisboa,2009,26846
Distrito de Lisboa,2010,26735
Distrito de Lisboa,2011,26027
Distrito de Lisboa,2012,27167
Distrito de Lisboa,2013,26568
Distrito de Lisboa,2014,25939
Distrito de Lisboa,2015,26594
Distrito de Lisboa,2016,27568
Distrito de Lisboa,2017,28281
Distrito de Lisboa,2018,28604
Distrito de Lisboa,2019,28033
Distrito de Lisboa,2020,29316
Distrito de Lisboa,2021,29788
Distrito de Lisboa,2022,29740
Distrito de Lisboa,2023,29820
Distrito de Portalegre,2001,942
Distrito de Portalegre,2002,966
Distrito de Portalegre,2003,990
Distrito de Portalegre,2004,1015
Distrito de Portalegre,2005,1039
Distrito de Portalegre,2006,1063
Distrito de Portalegre,2007,1088
Distrito de Portalegre,2008,1112
Distrito de Portalegre,2009,1136
Distrito de Portalegre,2010,1120
Distrito de Portalegre,2011,1172
Distrito de Portalegre,2012,1184
Distrito de Portalegre,2013,1155
Distrito de Portalegre,2014,1112
Distrito de Portalegre,2015,1090
Distrito de Portalegre,2016,1101
Distrito de Portalegre,2017,1083
Distrito de Portalegre,2018,1104
Distrito de Portalegre,2019,1111
Distrito de Portalegre,2020,1174
Distrito de Portalegre,2021,1204
Distrito de Portalegre,2022,1242
Distrito de Portalegre,2023,1240
Distrito de Santarém,2001,2806
Distrito de Santarém,2002,2889
Distrito de Santarém,2003,2972
Distrito de Santarém,2004,3055
Distrito de Santarém,2005,3138
Distrito de Santarém,2006,3222
Distrito de Santarém,2007,3305
Distrito de Santarém,2008,3388
Distrito de Santarém,2009,3471
Distrito de Santarém,2010,3422
Distrito de Santarém,2011,3342
Distrito de Santarém,2012,3196
Distrito de Santarém,2013,3042
Distrito de Santarém,2014,3002
Distrito de Santarém,2015,3132
Distrito de Santarém,2016,3416
Distrito de Santarém,2017,3509
Distrito de Santarém,2018,3540
Distrito de Santarém,2019,3535
Distrito de Santarém,2020,3835
Distrito de Santarém,2021,3861
Distrito de Santarém,2022,3732
Distrito de Santarém,2023,3727
Distrito de Setúbal,2001,5651
Distrito de Setúbal,2002,5809
Distrito de Setúbal,2003,5966
Distrito de Setúbal,2004,6124
Distrito de Setúbal,2005,6282
Distrito de Setúbal,2006,6440
Distrito de Setúbal,2007,6598
Distrito de Setúbal,2008,6755
Distrito de Setúbal,2009,6913
Distrito de Setúbal,2010,7037
Distrito de Setúbal,2011,6805
Distrito de Setúbal,2012,6650
Distrito de Setúbal,2013,6768
Distrito de Setúbal,2014,6363
Distrito de Setúbal,2015,6798
Distrito de Setúbal,2016,7158
Distrito de Setúbal,2017,7133
Distrito de Setúbal,2018,7351
Distrito de Setúbal,2019,7471
Distrito de Setúbal,2020,8051
Distrito de Setúbal,2021,8205
Distrito de Setúbal,2022,8199
Distrito de Setúbal,2023,8140
Distrito de Viana do Castelo,2001,1464
Distrito de Viana do Castelo,2002,1481
Distrito de Viana do Castelo,2003,1499
Distrito de Viana do Castelo,2004,1516
Distrito de Viana do Castelo,2005,1534
Distrito de Viana do Castelo,2006,1551
