;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;SNS: pessoal ao serviço nos hospitais por tipo de pessoal ao serviço;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Onde há mais e menos médicos, enfermeiros, pessoal auxiliar de enfermagem ou técnicos de diagnóstico e terapêutica nas unidades hospitalares do Serviço Nacional de Saúde?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Indivíduo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Territórios;;Tipo de pessoal ao serviço;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total;;;;;;;;;;;;;;;;;Médicos;;;;;;;;;;;;;;;;;Enfermeiros;;;;;;;;;;;;;;;;;Pessoal auxiliar de enfermagem;;;;;;;;;;;;;;;;;Técnicos de diagnóstico e terapêutica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Âmbito Geográfico;Anos;1999;2001;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;1999;2001;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;1999;2001;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;1999;2001;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;1999;2001;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS 2024;Portugal;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS I;Continente; 84 412; 87 449; 95 884; 99 587; 94 376; 95 589; 94 310; 92 209; 95 382; 98 014; 100 147; 102 612; 105 185; 112 358; 114 230;Pro 114 425;Pro 114 911; 15 436; 15 751; 16 868; 17 962; 17 423; 18 132; 18 423; 18 530; 19 164; 19 901; 20 766; 21 156; 20 834; 21 297; 21 883;Pro 22 403;Pro 22 466; 23 792; 24 245; 30 159; 32 140; 31 517; 31 985; 31 344; 30 859; 32 207; 33 680; 34 430; 35 469; 37 267; 39 913; 40 418;Pro 40 666;Pro 40 972; 2 777; 3 343; 25 734; 25 803;?  15 833; 20 794; 22 258; 21 630; 22 452; 22 743; 22 952; 23 472; 24 994; 27 793; 28 106;Pro 27 687;Pro 27 523; 5 491; 5 624; 6 685; 6 843; 6 592; 6 691; 6 575; 6 547; 6 705; 6 944; 7 059; 7 530; 7 442; 8 068; 8 298;Pro 8 229;Pro 8 315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS II;Norte; 25 877; 28 355; 31 150; 34 894; 31 160; 31 544; 31 258; 30 536; 31 734; 32 347; 33 056; 34 350; 35 951; 39 034; 39 506;Pro 39 942;Pro 40 562; 5 019; 5 228; 6 103; 7 014; 6 221; 6 657; 6 732; 6 653; 6 917; 6 969; 7 335; 7 587; 7 802; 8 081; 8 320;Pro 8 694;Pro 9 053; 7 561; 6 701; 8 760; 11 169; 10 473; 10 738; 10 519; 10 326; 10 796; 11 278; 11 462; 12 059; 12 795; 14 058; 14 192;Pro 14 375;Pro 14 531; 885; 2 771; 9 525; 9 108;?  4 409; 6 117; 7 526; 7 168; 7 310; 7 466; 7 554; 7 821; 8 393; 9 457; 9 384;Pro 9 301;Pro 9 313; 1 447; 1 618; 1 926; 2 078; 1 871; 1 935; 1 937; 1 918; 1 992; 2 085; 2 124; 2 214; 2 264; 2 496; 2 558;Pro 2 542;Pro 2 569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS III;Alto Minho; 1 471; 1 464; 1 603; 1 624; 1 848; 1 875; 1 771; 1 649; 1 692; 1 728; 1 772; 1 932; 1 917; 2 148; 2 169;Pro 2 171;Pro 2 170; 183; 185; 232; 248; 348; 376; 336; 293; 324; 336; 360; 431; 365; 363; 379;Pro 418;Pro 440; 371; 523; 551; 561; 607; 607; 598; 575; 610; 631; 658; 677; 688; 763; 786;Pro 773;Pro 759; 114; 1; 416; 453;? //; 452; 432; 399; 381; 383; 373; 402; 439; 561; 531;Pro 516;Pro 504; 66; 81; 81; 81; 100; 106; 102; 89; 92; 90; 90; 106; 106; 117; 122;Pro 120;Pro 128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
