;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Óbitos de residentes em Portugal por algumas causas de morte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Onde morrem mais e menos pessoas por doença, como cancro, diabetes ou do aparelho circulatório, por acidente ou suicídio?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Indivíduo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Territórios;;Diabetes;;;;;;;;;;;;;Tumores malignos;;;;;;;;;;;;;Doenças do aparelho circulatório;;;;;;;;;;;;;Suicídio;;;;;;;;;;;;;Tuberculose;;;;;;;;;;;;;Doenças do aparelho respiratório;;;;;;;;;;;;;SIDA;;;;;;;;;;;;;Doenças do aparelho digestivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Âmbito Geográfico;Anos;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS 2024;Portugal; 4 536; 4 867; 4 544; 4 271; 4 403; 4 355; 4 144; 4 292; 3 834; 4 110; 3 471; 3 718; 3 257; 25 536; 25 690; 25 860; 26 165; 26 593; 27 306; 27 434; 27 849; 28 464; 28 323; 27 577; 27 836; 28 166; 31 565; 32 761; 31 421; 32 134; 32 275; 32 628; 32 180; 32 732; 33 421; 34 485; 32 342; 32 996; 30 059; 1 012; 1 066; 1 051; 1 216; 1 127; 975; 1 048; 989; 975; 941; 928; 1 013; 1 035; 207; 207; 211; 206; 209; 194; 189; 224; 170; 171; 151; 166; 144; 11 917; 13 893; 12 612; 12 149; 13 447; 13 448; 12 803; 13 276; 12 218; 11 241; 10 254; 12 114; 13 110; 557; 501; 457; 419; 390; 331; 295; 312; 248; 222; 200; 189; 152; 4 538; 4 525; 4 567; 4 587; 4 543; 4 966; 4 990; 4 852; 4 831; 5 156; 5 325; 5 360; 5 261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS I;Continente; 4 251; 4 640; 4 274; 4 036; 4 164; 4 110; 3 924; 4 035; 3 614; 3 906; 3 289; 3 509; 3 078; 24 471; 24 546; 24 719; 25 001; 25 504; 26 158; 26 263; 26 610; 27 188; 27 011; 26 241; 26 501; 26 904; 30 123; 31 356; 30 047; 30 591; 30 759; 31 101; 30 770; 31 255; 31 918; 32 969; 30 886; 31 452; 28 727; 951; 1 015; 1 006; 1 154; 1 077; 922; 1 000; 931; 922; 881; 860; 953; 992; 204; 203; 208; 203; 202; 189; 178; 216; 165; 166; 150; 161; 141; 11 173; 13 121; 11 802; 11 317; 12 621; 12 605; 12 064; 12 465; 11 539; 10 590; 9 626; 11 403; 12 427; 546; 491; 450; 413; 378; 324; 287; 306; 242; 216; 198; 186; 150; 4 313; 4 323; 4 343; 4 345; 4 330; 4 747; 4 747; 4 619; 4 592; 4 892; 5 077; 5 090; 5 003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS II;Norte; 1 376; 1 454; 1 407; 1 185; 1 259; 1 160; 1 162; 1 182; 1 114; 1 168; 934; 1 002; 892; 8 002; 8 067; 8 100; 8 399; 8 490; 8 666; 8 670; 8 985; 9 091; 9 010; 8 750; 9 036; 9 060; 8 977; 9 661; 9 527; 9 722; 9 845; 9 790; 9 934; 9 976; 10 049; 10 369; 9 505; 9 732; 9 086; 206; 221; 208; 332; 256; 251; 265; 273; 254; 240; 251; 272; 311; 97; 77; 75; 80; 73; 57; 60; 78; 59; 56; 50; 59; 44; 3 773; 4 326; 3 770; 3 644; 4 216; 4 098; 4 161; 4 209; 4 080; 3 785; 3 267; 4 011; 4 383; 131; 124; 110; 101; 83; 76; 70; 84; 62; 45; 43; 46; 40; 1 478; 1 495; 1 415; 1 490; 1 511; 1 576; 1 595; 1 604; 1 607; 1 666; 1 712; 1 828; 1 647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS III;Alto Minho; 105; 121; 138; 92; 124; 111; 87; 110; 112; 106; 88; 96; 96; 663; 651; 676; 698; 727; 743; 718; 744; 749; 765; 687; 738; 669; 940; 992; 922; 869; 897; 871; 941; 935; 936; 995; 930; 955; 834; 20; 23; 17; 24; 18; 14; 15; 20; 26; 13; 14; 17; 34; 6; 11; 6; 3; 5; 5; 8; 1; 3; 6; 2; 4; 1; 339; 379; 293; 298; 346; 363; 348; 328; 361; 307; 290; 318; 349; 7; 2; 2; 4; 11; 3; 1; 2; 1; 1; 0; 3; 1; 152; 149; 126; 145; 128; 126; 152; 152; 141; 138; 134; 142; 131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
